"","AL0D_1_GLbulkRNAseq_sub","AL0D_2_GLbulkRNAseq_sub","AL0D_3_GLbulkRNAseq_sub","AL0D_4_GLbulkRNAseq_sub","AL0D_5_GLbulkRNAseq_sub","AL0R_1_GLbulkRNAseq_sub","AL0R_2_GLbulkRNAseq_sub","AL0R_3_GLbulkRNAseq_sub","AL0R_4_GLbulkRNAseq_sub","AL0R_5_GLbulkRNAseq_sub","AL40D_1_GLbulkRNAseq_sub","AL40D_2_GLbulkRNAseq_sub","AL40D_3_GLbulkRNAseq_sub","AL40D_4_GLbulkRNAseq_sub","AL40D_5_GLbulkRNAseq_sub","AL40R_1_GLbulkRNAseq_sub","AL40R_2_GLbulkRNAseq_sub","AL40R_3_GLbulkRNAseq_sub","AL40R_4_GLbulkRNAseq_sub","W0D_1_GLbulkRNAseq_sub","W0D_2_GLbulkRNAseq_sub","W0D_3_GLbulkRNAseq_sub","W0D_4_GLbulkRNAseq_sub","W0D_5_GLbulkRNAseq_sub","W0R_1_GLbulkRNAseq_sub","W0R_2_GLbulkRNAseq_sub","W0R_3_GLbulkRNAseq_sub","W0R_4_GLbulkRNAseq_sub","W0R_5_GLbulkRNAseq_sub","W40D_1_GLbulkRNAseq_sub","W40D_2_GLbulkRNAseq_sub","W40D_3_GLbulkRNAseq_sub","W40D_4_GLbulkRNAseq_sub","W40D_5_GLbulkRNAseq_sub","W40R_1_GLbulkRNAseq_sub","W40R_2_GLbulkRNAseq_sub","W40R_3_GLbulkRNAseq_sub","W40R_4_GLbulkRNAseq_sub","W40R_5_GLbulkRNAseq_sub"
"Bra000011",26.96,37.6,14.03,29.93,21.31,24.58,0,41.75,28.78,0,20.71,19.07,48.7,0,46.59,43.77,28.43,39.93,26.88,42.79,47.43,24.98,9.9,11.3,25.88,38.22,45.16,23.06,29.69,44.51,39.19,25.85,51.3,12.02,33.66,60.33,34.24,34.57,30.29
"Bra000012",0,0,0,0,0,0,0,0,2.22,0,3.2,0,0,0,0,0,6.47,0,0,0,4.4,3.85,0,5.16,0,0,0,0,0,0,3.99,0,1.81,0,0,0,0,0,2.5
"Bra000013",12.65,0,0,0,0,0,0,4.79,13.37,0,0,0,4.46,11.74,0,0,0,0,0,2.51,0,0,4.55,0,0,0,0,0,0,8.12,2,11.98,3.63,0,2.22,3.09,0,0,3.76
"Bra000014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,3.5,2.78
"Bra000015",0,0,0,0,8.06,0,0,0,0,0,0,0,7.35,0,0,0,0,5.07,6.8,4.08,0,0,7.48,0,9.75,0,0,0,0,0,6.58,0,2.98,9.09,0,0,0,0,6.22
"Bra000016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000018",0,0,7.91,0,0,0,0,0,0,0,0,0,11.03,0,0,0,0,0,0,6.02,0,0,0,0,7.33,0,0,6.51,0,0,14.78,0,0,0,5.44,0,0,0,3.12
"Bra000019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000021",0,15.79,8.78,37.89,13.43,0,0,39.5,6.02,0,0,0,12.3,16.21,0,0,0,0,0,33.36,0,20.92,12.48,0,0,12.05,0,14.47,56.45,0,5.49,0,9.94,0,18.16,0,0,17.48,10.46
"Bra000022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,20.62,0,0,4.29
"Bra000023",0,0,3.02,6.28,0,0,0,8.83,2.05,0,0,0,0,0,3.98,2.31,0,2.87,3.83,2.32,4.07,0,0,0,0,4.04,4.81,2.46,3.11,14.96,5.53,0,5.02,0,2.04,2.85,4.83,2.91,1.16
"Bra000024",0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,0,8.87,0,0
"Bra000025",0,19.54,0,0,16.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,11.72,0,0,0,0,0,0,0,0,0,4.34
"Bra000026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,2.83
"Bra000027",0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra000028",0,0,31.84,0,0,0,25.64,0,14.57,0,20.97,0,0,0,28.36,0,0,0,0,16.07,0,25.36,0,52.12,19.98,14.68,0,8.77,11.52,0,20.07,39.33,6.05,0,14.71,10.25,0,31.99,8.53
