"","AL0D_1_GLbulkRNAseq_sub","AL0D_2_GLbulkRNAseq_sub","AL0D_3_GLbulkRNAseq_sub","AL0D_4_GLbulkRNAseq_sub","AL0D_5_GLbulkRNAseq_sub","AL0R_1_GLbulkRNAseq_sub","AL0R_2_GLbulkRNAseq_sub","AL0R_3_GLbulkRNAseq_sub","AL0R_4_GLbulkRNAseq_sub","AL0R_5_GLbulkRNAseq_sub","AL40D_1_GLbulkRNAseq_sub","AL40D_2_GLbulkRNAseq_sub","AL40D_3_GLbulkRNAseq_sub","AL40D_4_GLbulkRNAseq_sub","AL40D_5_GLbulkRNAseq_sub","AL40R_1_GLbulkRNAseq_sub","AL40R_2_GLbulkRNAseq_sub","AL40R_3_GLbulkRNAseq_sub","AL40R_4_GLbulkRNAseq_sub","W0D_1_GLbulkRNAseq_sub","W0D_2_GLbulkRNAseq_sub","W0D_3_GLbulkRNAseq_sub","W0D_4_GLbulkRNAseq_sub","W0D_5_GLbulkRNAseq_sub","W0R_1_GLbulkRNAseq_sub","W0R_2_GLbulkRNAseq_sub","W0R_3_GLbulkRNAseq_sub","W0R_4_GLbulkRNAseq_sub","W0R_5_GLbulkRNAseq_sub","W40D_1_GLbulkRNAseq_sub","W40D_2_GLbulkRNAseq_sub","W40D_3_GLbulkRNAseq_sub","W40D_4_GLbulkRNAseq_sub","W40D_5_GLbulkRNAseq_sub","W40R_1_GLbulkRNAseq_sub","W40R_2_GLbulkRNAseq_sub","W40R_3_GLbulkRNAseq_sub","W40R_4_GLbulkRNAseq_sub","W40R_5_GLbulkRNAseq_sub"
"Bra002250",0,10.42,2.96,6.16,0,0,3.56,0,4.03,0,8.7,0,0,5.3,3.91,0,0,8.46,3.75,15.92,7.98,0,4.11,4.68,0,3.96,4.72,2.42,3.04,14.66,9.03,10.83,9.85,0,0,8.38,0,8.57,2.26
"Bra002251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002253",0,0,0,7.96,5.71,0,0,0,0,0,3.73,0,0,0,0,0,7.57,0,4.83,0,0,0,0,0,0,0,0,0,0,0,4.66,0,4.23,0,0,3.6,0,0,1.46
"Bra002254",0,0,0,0,0,0,0,0,10.29,0,0,20.48,0,0,0,0,0,7.13,9.61,0,0,0,10.63,0,6.95,10.27,0,0,0,19.14,14.03,27.73,29.66,0,5.16,0,12.26,7.43,17.77
"Bra002255",0,14.62,5.53,0,4.14,4.74,0,4.05,15.08,4.92,5.43,3.71,0,0,7.31,19.06,0,7.92,7.02,12.78,11.2,0,3.84,0,0,3.71,0,11.31,2.85,4.36,20.27,10.14,7.68,14.01,11.25,2.61,11.06,10.68,14.82
"Bra002256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002257",0,0,6.24,26.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,8.44,0,0,0,0,0,0,5.12,0,7.89,0,0,31.52,21.33,8.54,0,15.19,0,14.63
"Bra002258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0
"Bra002259",19.46,36.79,30.54,22.15,31.29,18.16,12.29,76.73,62.86,40.32,30.15,0,57.38,0,13.59,16.12,63.04,48.13,65.38,15.42,27.59,36.45,0,16.63,0,42.15,33.01,16.81,110.11,39.5,51.22,75.38,46.31,0,21.13,9.82,8.4,0,77.5
"Bra002260",0,0,4.18,24.29,43.32,0,0,33.97,39.19,10.34,0,0.12,23.76,10.4,37.54,19.09,0,8.57,0,0,0,0,0,27.56,5.25,0,27.61,18.22,12.38,50.58,0,21.09,21.37,0,47.01,21.81,0,36.35,21.12
"Bra002261",29.74,36.51,42.52,0,0.05,26.74,30.95,0,0,0.26,45.46,62.38,0,0.02,0.44,38.6,30.93,36.32,13.09,49.96,41.68,18.26,43.21,0,0,34.76,0.01,38.48,21.65,0,44.35,0,26.88,52.51,0,0.04,16.6,13.58,52.97
"Bra002262",139.77,113.4,167.15,204.94,48.22,168.01,126.14,157.67,121.89,207.78,61.89,71.92,14.74,38.9,111.62,82.82,194.39,108.65,80.56,39.55,84.95,199.58,119.61,136.68,117.85,187.67,50.85,232.97,283.04,162.42,46.05,77.39,65.42,126.92,260.46,252.16,77.64,157.29,184.51
"Bra002263",7.35,6.65,20.85,15.69,5.65,3.23,2.28,2.76,10.32,3.33,16.71,2.53,10.29,6.76,12.5,2.89,3.73,13.51,2.4,8.77,0,2.23,20.96,5.97,5.1,2.53,6.03,6.19,13.56,21.01,9.22,13.86,15.73,3.19,6.4,10.71,3.02,5.46,15.86
"Bra002264",0,0,0,0,0,0,0,0,0,0,12.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26,5.24,0,0,0,0,3.58,0,4.37,0,0,0,2.5
"Bra002265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002266",0,0,0,38.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0
"Bra002267",0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,4.14,0,1.99
"Bra002268",0,0,0,0,0,0,0,0,0,0,0,0,0,69.38,0,0,0,0,0,0,45.51,123.23,0,0,0,0,0,0,0,0,0,0,0,0,24.32,0,0,0,0
"Bra002269",0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.56,0,0,0,0,0,0,0,8.82
"Bra002270",14.33,0,14.92,15.97,0,0,8.99,44.5,10.21,0,0,0,20.77,13.68,19.84,5.83,15.16,0,9.54,0,10.1,0,0,12.04,6.9,10.19,0,18.41,7.92,18.99,13.92,0,8.41,25.62,25.61,14.28,12.17,22.12,8.82
"Bra002271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,0,0,0,0,0,0,0,0
"Bra002272",0,0,0,0,7.74,8.89,18.52,7.57,7,0,0,13.85,0,0,13.59,0,0,0,0,3.93,6.93,0,0,0,9.37,13.87,24.66,8.41,0,0,3.16,0,2.87,0,10.49,4.87,20.7,10.01,13.93
"Bra002273",0,0,0,0,0,0,0,0,20.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,8.56,0,0,0,12.46,0,12.23
"Bra002274",0,0,0,0,5.87,6.73,0,0,0,0,0,5.25,5.35,0,0,0,0,0,0,0,5.27,0,0,0,0,0,0,0,0,0,2.4,0,2.18,0,0,0,0,11.37,1.5
"Bra002275",0,0,0,0,0,0,0,0,6.07,0,0,0,12.41,0,0,0,0,0,11.36,0,0,0,0,0,0,0,0,7.3,0,34.11,5.54,0,5.02,0,0,8.52,7.27,0,3.52
"Bra002276",70.47,0,36.98,0,19.1,89.07,14.9,18.75,8.48,0,12.2,85.47,52.65,23.18,0,69.02,0,11.63,63.59,9.3,0,44.3,0,40.67,0,17.17,0,20.42,13.54,0,31.3,45.79,42.38,21.55,17.17,11.97,11.22,24.99,0
"Bra002277",0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,9.8,0,0,0,4.81,8.52,0,0,10.12,5.79,0,0,5.17,0,7.96,0,0,3.54,0,0,0,0,0,2.46
"Bra002278",0,0,7.09,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,11.41,0,0,18,0,0,0,12.15,0,0,0,0,0
"Bra002279",21.54,9.94,0,11.83,0,19.44,6.73,8.27,11.46,0,16.48,7.56,30.86,20.31,7.41,13,0,5.31,7.12,17.1,7.56,13.25,23.53,8.95,5.12,0,26.91,4.59,35.15,28.15,37.96,0,15.65,9.53,7.63,10.64,9.04,5.47,15.23
"Bra002280",0,0,0,0,0,0,0,13.54,0,0,8.9,24.72,12.65,0,0,0,0,0,11.57,41.11,0,0,12.84,0,0,24.79,43.78,0,0,11.59,0,33.35,15.33,15.58,0,17.35,0,26.97,3.59
"Bra002281",0,5.27,5.98,0,13.43,0,3.59,0,6.11,0,0,4,0,0,0,0,0,0,3.79,13.79,16.13,3.53,4.15,0,2.7,0,0,4.89,12.31,18.52,1.83,10.95,16.59,5.05,2.03,5.65,16.74,2.89,10.3
"Bra002282",0,12.25,10.41,0,0,17.88,4.17,15.27,9.46,0,13.61,13.97,9.48,6.23,9.17,7.99,13.78,3.31,4.4,13.33,0,8.19,4.83,0,9.42,23.3,0,0,0,4.31,4.25,25.44,21.22,0,4.71,3.28,8.34,3.36,1.33
"Bra002283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13.94,0,0,0
"Bra002285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002286",87.99,57.73,35.34,26.22,41.52,51.77,24.28,14.76,70.49,22.37,76.7,27.02,20.62,36.12,46.66,23.15,54.88,72.23,54.4,27.21,68.12,2.98,21,19.94,11.37,3.38,8.05,26.81,119.23,62.43,41.56,18.49,44.78,59.6,23.92,14.29,44.36,17.03,50.13
"Bra002287",19.47,26.89,0,10.65,0,0,0,0,0,83.43,4.96,6.82,0,9.15,0,0,0,0,6.43,7.73,6.82,5.98,0,0,18.44,0,16.19,0,36.91,0,0,18.56,2.82,17.19,3.44,4.8,4.08,9.86,1.96
"Bra002288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,0,0,0,0,0,0,7.83,0,0,27.21,0,0,0,0,0,0,0
"Bra002289",19.66,10.69,4.06,4.2,6.06,3.46,14.63,20.72,15.19,14.28,17.89,16.26,5.51,18.1,8.03,4.64,0,7.74,10.28,18.76,21.89,11.95,8.42,6.39,7.29,2.71,29.06,11.59,8.3,10.01,23.46,22.27,43.79,10.25,5.48,13.38,17.79,9.75,10.81
"Bra002290",69.62,110.84,121.77,53.66,263.95,0,73.59,203.58,301.38,24.88,60.22,84.37,34.64,0,130.43,38.93,50.86,45.97,109.89,45.93,82.6,87.49,157.96,280.99,46.23,152.51,99.19,221.79,82.96,223.19,123.57,45.22,69.73,42.54,110.18,129.98,202.6,148,128.51
"Bra002291",5.34,9.72,16.56,0,0,9.45,13.27,0,3.76,0,13.53,18.48,26.32,4.94,18.22,2.11,0,7.89,0,2.12,0,16.27,0,4.36,4.98,3.7,8.8,0,14.19,10.25,16.84,0,16.84,4.66,9.35,7.82,6.62,0,17.94
"Bra002292",0,26.92,0,0,0,26.42,0,44.85,0,14.31,0,30.72,0,41.37,10,0,0,0,0,22.91,0,17.87,10.63,0,6.95,0,12.12,6.18,31.93,0,0,55.45,33.9,12.91,0,43.18,18.39,0,0
"Bra002293",2.44,0,1.26,0,0,0,1.51,1.83,0.86,0,0,0,0,2.24,1.66,0.96,0,0,0,0.97,0,1.48,0,0,1.13,1.68,0,1.03,0,0,3.82,4.6,2.08,2.11,0.85,2.37,0,0,1.43
"Bra002294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0,0,0,7.52,0,13.07,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0
"Bra002296",7.52,0,7.78,8.15,5.85,0,4.68,0,7.96,0,7.64,15.69,0,0,5.15,0,0,3.71,0,5.97,10.51,0,10.85,6.18,3.53,0,0,3.18,4.03,0,7.16,28.55,4.33,6.59,0,0,0,3.78,3
"Bra002297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,4.34,0,0,0,0,0,8.57,0,30.59
"Bra002299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.79,16.85,0,0,0,28.8,0,15.39
"Bra002300",0,0,102.87,0,0,0,0,0,0,0,0,343.78,0,0,0,0,0,0,0,0,0,132.84,0,0,0,0,0,0,0,0,0,0,61.31,0,0,0,0,0,17.47
"Bra002301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002302",0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
"Bra002303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,1.14,0,0,0,0,0,0.78
"Bra002306",0,0,86.8,70.6,0,57.11,35.25,0,60.52,0,0,42.67,0,0,0,75.19,0,26.85,0,21.21,39.64,71.23,44.55,0,29.94,42.73,0,24.4,35.38,41.63,59.25,0,52.98,0,84.11,0,51.45,0,13.07
"Bra002307",69.76,32.79,72.84,39.36,0,16.14,10.99,27.33,18.72,35.48,0,37.43,51.07,33.67,12.14,7.17,0,8.62,11.67,34.56,36.99,54.24,0,0,8.5,50.05,0,7.51,48.88,0,62.72,235.61,61.91,31.45,18.84,35.03,7.48,81.67,21.74
"Bra002308",0,0,0,0,0,0,0,0,0,0,0,10.36,0,0,0,0,0,0,0,0,0,0,10.76,0,0,0,0,0,0,9.69,0,0,4.29,26.12,0,0,0,0,0
"Bra002309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56,0,0,0,0,0,0,0,0,0,0,28.01,0,0,0
"Bra002310",0,0,0,0,46.44,0,0,0,0,0,0,0,0,18.73,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,22.5,0,0,0,0,0,0,0,0,6.68,0,0,0
"Bra002312",66.21,0,0,0,0,0,0,0,25.26,0,0,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68,0,0,36.94,0,0,0
"Bra002313",8.84,8.12,0,19.27,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.51,6.19,27.1,0,0,0,0,0,0,4.77,11.47,8.45,0,7.67,7.79,3.12,0,0,0,5.32
"Bra002314",16.91,7.76,17.52,46,19.78,0,5.27,12.9,14.94,47.79,25.81,17.7,48.1,63.27,11.6,6.75,43.74,4.17,5.57,20.16,17.75,25.9,24.47,13.95,23.9,11.81,7.01,28.7,45.54,16.42,24.22,64.33,17.1,22.31,20.86,20.78,28.21,38.35,13.54
"Bra002315",20.61,12.43,5.31,14.65,0,3.02,6.39,2.58,2.41,0,12.15,7.09,4.81,0,2.34,0,3.49,1.69,2.24,2.73,7.17,2.09,4.9,8.37,4.77,0,5.64,2.89,3.62,13.09,10.77,0,13.71,5.96,3.59,10.01,9.87,3.4,4.04
"Bra002316",25.68,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,43.44,0,0,0,10.16,0,0,0,0,0,0,0,11.2,0,17.82,43.05,0,23.3,23.7,0,13.15,0,0,16.58
"Bra002317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002318",46.15,47.07,74.09,176.42,0,0,30.04,39.33,17.16,0,24.72,35.86,0,0,0,20.96,55.29,69.03,0,54.64,33.76,0,74.84,0,0,108.02,0,20.75,0,69.51,33.07,0,0,0,35.54,0,0,0,10.86
"Bra002319",0,0,67.46,0,36.05,0,0,0,31.2,54.37,0,0,33.58,0,0,18.88,0,0,29.45,16.64,0,0,0,38.82,0,0,0,0,52.93,0,0,0,13.37,0,0,0,0,0,0
"Bra002320",0,7.3,0,0,0,7.11,0,12.14,0,0,8.1,0,11.31,0,0,3.18,8.23,0,0,3.17,11.14,4.88,5.76,0,0,5.56,0,6.75,4.28,0,5.06,0,4.6,0,5.61,7.82,6.63,0,1.59
"Bra002321",0,0,0,7.09,0,5.84,8.17,9.97,2.32,0,10,0,18.57,18.31,0,0,0,9.71,0,10.44,0,24.07,9.45,0,9.22,4.56,0,2.78,3.51,8.44,0,12.46,7.56,0,9.22,6.43,0,3.29,0
"Bra002322",0,39.08,43.15,70.69,16.62,19.31,0,16.3,7.41,0,31.97,104.11,60.98,100.61,28.83,77.09,0,20.39,41.62,48.97,0,77.33,46.38,35.34,81.28,29.86,0,35.66,11.72,56.02,122.44,79.96,147.55,37.49,44.87,20.85,44.61,65.08,21.7
"Bra002323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002324",8.91,16.36,13.84,77.65,20.85,7.98,22.22,20.41,18.9,0,13.6,18.66,63.41,41.71,24.44,3.56,101.5,8.78,5.87,0,43.64,0,0,7.36,0,0,14.78,3.78,4.8,5.78,2.84,16.95,0,23.52,3.14,8.76,0,4.49,12.5
"Bra002325",0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,4.1,0,0,0,2.12,0,6.42,3.16,0,0,0,1.76,0,0,0,0
"Bra002326",142.72,212.54,192.08,163.05,65.73,76.37,193.31,193.45,197.8,21.3,263.12,161.77,195.64,59.68,127.98,135.5,44.18,96.2,149.73,209.98,86.79,89.23,122.29,69.88,50.22,118.08,64.21,105.8,115.83,207.67,403.02,514.06,261.42,74.15,133.12,175.27,167.57,150.13,115.76
"Bra002327",2.8,5.06,5.77,0,0,4.9,3.47,2.1,0.98,0,2.83,3.85,5.86,0,1.9,1.1,2.83,0,9.13,1.11,1.95,3.4,3.98,0,6.46,1.92,9.17,5.88,7.35,3.55,3.5,10.55,4.78,2.42,1.95,8.14,5.74,12.45,4.93
"Bra002328",0,104.76,85.66,95.63,245,104.31,86.38,131.3,108.18,120.7,28.3,119.64,205.1,135.61,134.22,138.31,30.18,0,92.36,10.73,96.97,17.16,20.76,95.02,109.68,140.25,140.21,106.69,63.58,113.57,63.95,0,32.95,25.13,69.98,41.81,83.88,131.56,11.75
"Bra002329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002331",0,0,31.14,0,51.06,0,0,0,0,0,0,0,48.33,0,0,0,0,0,41.16,0,85.42,38.46,0,0,0,0,0,52.61,0,0,0,0,0,0,0,0,0,34.32,14.26
"Bra002332",19.98,4.84,20.71,45.73,12.34,9.41,10.16,4.02,16.85,19.54,2.69,36,7.49,25.96,9.91,4.21,10.88,2.62,20.91,26.18,11.13,5.45,9.81,39.1,10.45,13.28,21.91,15.09,23.49,13.61,70.71,10.07,18.44,16.39,13.03,25.3,13.18,2.65,78.23
"Bra002333",0,0,7.72,0,0,4.4,3.09,3.76,1.75,0,2.52,0,3.5,0,6.8,1.97,0,4.91,0,5.94,0,9.1,7.14,0,2.32,3.44,4.1,2.1,13.22,3.18,3.14,0,12.84,0,1.74,0,12.33,2.48,8.85
"Bra002334",0,0,0,0,0,0,0,10.63,0,0,0,0,0,0,0,11.15,0,0,18.25,5.44,0,0,0,0,6.59,0,0,0,0,0,0,0,8.04,0,4.9,6.83,11.63,14.09,2.81
"Bra002335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002336",34.34,101.56,54.57,41.63,86.3,135.87,22.06,113.24,12.58,0,54.29,128.91,53.24,35.28,49.13,0,39.32,34.12,47.37,0,49.54,110.01,80.6,184.85,17.85,25.92,120.09,0,145.66,98.73,11.84,0,42.58,97.5,12.87,71.8,31.04,37.98,53.72
"Bra002337",41.38,7.59,68.57,9,25.79,0,20.63,28.52,26.32,7.78,16.83,17.31,23.52,7.73,28.36,13.21,0,16.32,32.7,26.3,17.37,40.54,53.85,20.46,27.27,17.33,41.14,31.59,26.72,53.54,76.32,0,47.8,36.37,37.9,40.65,10.34,20.83,52.95
"Bra002338",0,0,28.97,0,0,26.49,0,0,0,0,14.36,0,20.83,27.55,19.46,11.71,0,27.27,0,0,39.36,0,0,0,0,20.34,0,12.03,0,19.23,0,0,16.73,0,0,14.15,0,29.69,17.9
"Bra002339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0
"Bra002340",0,0,2.53,5.25,3.78,8.64,18.23,3.69,0,26.87,4.95,0,3.44,4.52,6.67,1.93,0,2.41,6.41,5.84,0,0,0,31.94,2.28,0,0,0,0,3.13,1.54,18.51,0,8.53,1.71,0,0,4.87,2.9
"Bra002341",36.71,0,19.18,0,14.71,0,0,14.42,13.15,0,9.46,0,26.95,0,12.79,0,0,9.07,12.31,7.27,12.99,0,0,31.24,0,0,31.06,0,10.33,0,18.05,0,32.66,0,6.62,18.47,7.89,0,22.97
"Bra002342",0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11,0,0
"Bra002344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002345",0,0,0,0,4.88,0,0,4.78,0,0,3.2,0,0,0,4.31,2.5,0,0,0,5.01,0,3.85,0,0,0,0,0,2.66,6.72,8.09,5.98,0,5.43,5.51,4.42,0,2.61,0,8.75
"Bra002346",0,0,3.63,0,21.82,0,4.37,5.34,19.82,0,3.57,0,0,6.54,9.61,0,0,6.92,9.23,5.58,0,4.29,0,0,3.29,0,0,2.97,11.28,18.09,4.45,0,6.07,6.15,4.94,0,17.5,0,11.18
"Bra002347",0,10.7,0,3.15,11.37,5.19,0,2.22,0,0,17.93,0,26.89,10.87,2.01,0,9,10.2,0,0,10.29,0,0,0,1.37,0,0,0,0,18.76,23.17,27.9,0,0,0,1.44,0,0,0
"Bra002348",19.27,36.41,30.23,87.64,61.93,71.86,0,60.73,41.48,119.55,29.84,27.71,127.73,37.45,67.24,23.92,41.57,57.18,77.65,15.27,13.65,36.07,71.99,49.35,9.45,41.71,16.34,58.22,108.91,65.13,12.67,0,5.73,17.46,27.88,87.46,24.92,30.28,60.52
"Bra002349",0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0.46
"Bra002350",0,0,0,0,0,0,0,0,4.71,12.99,6.78,0,9.57,0,0,5.37,0,0,0,5.26,0,16.36,0,11.09,0,0,11.09,5.66,0,8.74,21.38,0,0,0,4.72,0,0,13.58,16.22
"Bra002351",0,0,0,0,0,0,0,20.88,0,0,0,0,9.74,0,9.32,5.47,0,0,8.96,5.35,0,0,9.9,0,0,0,11.29,11.53,7.42,0,0,0,0,12.02,14.43,33.52,0,20.74,2.75
"Bra002352",12.16,0,6.32,0,0,0,0,0,0,0,0,25.72,17.5,0,0,0,0,0,0,4.83,8.55,0,0,10.15,5.81,0,0,10.38,0,0,15.65,0,17.74,0,0,6.03,15.39,0,7.41
"Bra002353",0,0,0,0,0,0,0,0,6.84,0,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0,0,0,0,0
"Bra002354",24.54,0,0,85.58,0,0,15.58,0,44.33,0,12.76,35.81,0,48.61,0,10.34,0,36.46,33.27,58.26,17.49,30.9,93.15,0,49.12,17.99,0,53.4,0,16.95,139.37,47.91,81.39,45.14,44.94,37.6,75.28,39.3,57.81
"Bra002355",0,0,7.8,0,0,0,0,11.46,2.66,0,15.3,5.24,21.36,7.02,10.31,3,0,3.71,4.95,11.97,5.26,27.64,5.43,30.97,7.07,10.49,12.46,0,0,9.72,14.34,14.3,17.37,13.21,0,3.69,0,3.78,4.5
"Bra002356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002357",0,13.67,7.74,0,52.3,6.66,9.31,5.68,7.91,20.95,7.59,5.2,0,0,10.23,0,0,7.37,14.74,2.97,20.89,13.71,21.56,12.29,0,5.2,12.37,9.5,4.01,4.82,16.6,0,15.08,6.55,10.51,3.66,0,18.76,20.85
"Bra002358",0,0,0,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,5.26,0,0,4.05,0,0,0,13.88,5.56,0,0,4.96,0,0,4.22,0,0,0
"Bra002359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,4.44,0,0,0,0,0,6.22
"Bra002360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002362",14.97,9.07,2.58,0,3.85,0,0,3.77,7.02,0,0,10.35,7.02,4.61,3.4,0,0,0,6.53,13.89,3.48,3.04,3.57,4.07,11.61,3.45,0,8.42,0,9.56,6.29,9.44,4.29,0,5.23,12.16,4.12,0,14.77
"Bra002363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bra002365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
