sample_id,AL0D_1_GLbulkRNAseq_sub,AL0D_2_GLbulkRNAseq_sub,AL0D_3_GLbulkRNAseq_sub,AL0D_4_GLbulkRNAseq_sub,AL0D_5_GLbulkRNAseq_sub,AL0R_1_GLbulkRNAseq_sub,AL0R_2_GLbulkRNAseq_sub,AL0R_3_GLbulkRNAseq_sub,AL0R_4_GLbulkRNAseq_sub,AL0R_5_GLbulkRNAseq_sub,AL40D_1_GLbulkRNAseq_sub,AL40D_2_GLbulkRNAseq_sub,AL40D_3_GLbulkRNAseq_sub,AL40D_4_GLbulkRNAseq_sub,AL40D_5_GLbulkRNAseq_sub,AL40R_1_GLbulkRNAseq_sub,AL40R_2_GLbulkRNAseq_sub,AL40R_3_GLbulkRNAseq_sub,AL40R_4_GLbulkRNAseq_sub,W0D_1_GLbulkRNAseq_sub,W0D_2_GLbulkRNAseq_sub,W0D_3_GLbulkRNAseq_sub,W0D_4_GLbulkRNAseq_sub,W0D_5_GLbulkRNAseq_sub,W0R_1_GLbulkRNAseq_sub,W0R_2_GLbulkRNAseq_sub,W0R_3_GLbulkRNAseq_sub,W0R_4_GLbulkRNAseq_sub,W0R_5_GLbulkRNAseq_sub,W40D_1_GLbulkRNAseq_sub,W40D_2_GLbulkRNAseq_sub,W40D_3_GLbulkRNAseq_sub,W40D_4_GLbulkRNAseq_sub,W40D_5_GLbulkRNAseq_sub,W40R_1_GLbulkRNAseq_sub,W40R_2_GLbulkRNAseq_sub,W40R_3_GLbulkRNAseq_sub,W40R_4_GLbulkRNAseq_sub,W40R_5_GLbulkRNAseq_sub
condition,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,0_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy,40_cGy
preservative,DRS,DRS,DRS,DRS,DRS,RL,RL,RL,RL,RL,DRS,DRS,DRS,DRS,DRS,RL,RL,RL,RL,DRS,DRS,DRS,DRS,DRS,RL,RL,RL,RL,RL,DRS,DRS,DRS,DRS,DRS,RL,RL,RL,RL,RL
genotype,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,antho_less,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
Treatment_genotype,antho_less_&_0_cGy,antho_less_&_0_cGy,antho_less_&_0_cGy,antho_less_&_0_cGy,antho_less_&_0_cGy,antho_less_&_0_cGy,antho_less_&_0_cGy,antho_less_&_0_cGy,antho_less_&_0_cGy,antho_less_&_0_cGy,antho_less_&_40_cGy,antho_less_&_40_cGy,antho_less_&_40_cGy,antho_less_&_40_cGy,antho_less_&_40_cGy,antho_less_&_40_cGy,antho_less_&_40_cGy,antho_less_&_40_cGy,antho_less_&_40_cGy,WT_&_0_cGy,WT_&_0_cGy,WT_&_0_cGy,WT_&_0_cGy,WT_&_0_cGy,WT_&_0_cGy,WT_&_0_cGy,WT_&_0_cGy,WT_&_0_cGy,WT_&_0_cGy,WT_&_40_cGy,WT_&_40_cGy,WT_&_40_cGy,WT_&_40_cGy,WT_&_40_cGy,WT_&_40_cGy,WT_&_40_cGy,WT_&_40_cGy,WT_&_40_cGy,WT_&_40_cGy
Treatment_preservation,0_cGy_&_DRS,0_cGy_&_DRS,0_cGy_&_DRS,0_cGy_&_DRS,0_cGy_&_DRS,0_cGy_&_RL,0_cGy_&_RL,0_cGy_&_RL,0_cGy_&_RL,0_cGy_&_RL,40_cGy_&_DRS,40_cGy_&_DRS,40_cGy_&_DRS,40_cGy_&_DRS,40_cGy_&_DRS,40_cGy_&_RL,40_cGy_&_RL,40_cGy_&_RL,40_cGy_&_RL,0_cGy_&_DRS,0_cGy_&_DRS,0_cGy_&_DRS,0_cGy_&_DRS,0_cGy_&_DRS,0_cGy_&_RL,0_cGy_&_RL,0_cGy_&_RL,0_cGy_&_RL,0_cGy_&_RL,40_cGy_&_DRS,40_cGy_&_DRS,40_cGy_&_DRS,40_cGy_&_DRS,40_cGy_&_DRS,40_cGy_&_RL,40_cGy_&_RL,40_cGy_&_RL,40_cGy_&_RL,40_cGy_&_RL
