,AL0D_1_GLbulkRNAseq_sub,AL0D_2_GLbulkRNAseq_sub,AL0D_3_GLbulkRNAseq_sub,AL0D_5_GLbulkRNAseq_sub,AL0R_1_GLbulkRNAseq_sub,AL0R_2_GLbulkRNAseq_sub,AL0R_3_GLbulkRNAseq_sub,AL0R_4_GLbulkRNAseq_sub,AL40D_1_GLbulkRNAseq_sub,AL40D_2_GLbulkRNAseq_sub,AL40D_3_GLbulkRNAseq_sub,AL40D_5_GLbulkRNAseq_sub,AL40R_1_GLbulkRNAseq_sub,AL40R_2_GLbulkRNAseq_sub,AL40R_3_GLbulkRNAseq_sub,AL40R_4_GLbulkRNAseq_sub,W0D_1_GLbulkRNAseq_sub,W0D_2_GLbulkRNAseq_sub,W0D_3_GLbulkRNAseq_sub,W0D_4_GLbulkRNAseq_sub,W0R_1_GLbulkRNAseq_sub,W0R_2_GLbulkRNAseq_sub,W0R_3_GLbulkRNAseq_sub,W0R_5_GLbulkRNAseq_sub,W40D_1_GLbulkRNAseq_sub,W40D_2_GLbulkRNAseq_sub,W40D_4_GLbulkRNAseq_sub,W40D_5_GLbulkRNAseq_sub,W40R_2_GLbulkRNAseq_sub,W40R_4_GLbulkRNAseq_sub,W40R_5_GLbulkRNAseq_sub
Bra000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1
Bra000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bra000003,1,0,2,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,2,0,0,1,0,0,2,0,3,0,0,0,1
Bra000004,1,0,1,1,1,0,2,1,2,3,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,1,2,0,0
Bra000005,4,1,5,0,1,1,4,9,7,7,6,8,2,1,3,1,5,3,4,8,8,6,1,3,7,14,21,4,4,6,35
Bra000006,0,0,3,1,3,0,2,8,1,3,1,1,5,1,2,0,3,1,1,2,2,2,0,2,0,4,9,0,1,4,12
Bra000007,0,0,1,0,1,2,1,4,0,0,2,1,2,0,1,1,0,1,1,0,3,1,3,0,3,2,0,0,1,1,0
Bra000008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bra000009,2,9,16.7,7.56,1,7,9,69.8,13,8,10,14.83,46.6,0,7,15.01,16.22,8.29,1,17.68,5,10,5,10.45,29.28,32.64,14,0,23.05,16.74,72.33
Bra000010,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bra000011,2,3,2,2,2,0,4,6,3,2,5,5,8,2,6,3,8,5,3,1,4,4,4,4,5,9,13,1,9,5,11
