,AL0D_1_GLbulkRNAseq_sub,AL0D_2_GLbulkRNAseq_sub,AL0D_3_GLbulkRNAseq_sub,AL0D_5_GLbulkRNAseq_sub,AL0R_1_GLbulkRNAseq_sub,AL0R_2_GLbulkRNAseq_sub,AL0R_3_GLbulkRNAseq_sub,AL0R_4_GLbulkRNAseq_sub,AL40D_1_GLbulkRNAseq_sub,AL40D_2_GLbulkRNAseq_sub,AL40D_3_GLbulkRNAseq_sub,AL40D_5_GLbulkRNAseq_sub,AL40R_1_GLbulkRNAseq_sub,AL40R_2_GLbulkRNAseq_sub,AL40R_3_GLbulkRNAseq_sub,AL40R_4_GLbulkRNAseq_sub,W0D_1_GLbulkRNAseq_sub,W0D_2_GLbulkRNAseq_sub,W0D_3_GLbulkRNAseq_sub,W0D_4_GLbulkRNAseq_sub,W0R_1_GLbulkRNAseq_sub,W0R_2_GLbulkRNAseq_sub,W0R_3_GLbulkRNAseq_sub,W0R_5_GLbulkRNAseq_sub,W40D_1_GLbulkRNAseq_sub,W40D_2_GLbulkRNAseq_sub,W40D_4_GLbulkRNAseq_sub,W40D_5_GLbulkRNAseq_sub,W40R_2_GLbulkRNAseq_sub,W40R_4_GLbulkRNAseq_sub,W40R_5_GLbulkRNAseq_sub
Bra000012,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,2
Bra000013,2,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,2,0,1,0,3
Bra000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Bra000015,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,2,0,0,0,0,2,1,1,0,0,3
Bra000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000018,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1
Bra000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bra000021,0,1,1,1,0,0,3,1,0,0,1,0,0,0,0,0,5,0,2,1,0,1,0,6,0,1,2,0,0,2,3
Bra000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Bra000023,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,4,3,3,0,1,1,1
Bra000024,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Bra000025,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Bra000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bra000027,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000028,0,0,3,0,0,2,0,2,2,0,0,2,0,0,0,0,2,0,2,0,2,1,0,1,0,3,1,0,1,3,2
Bra000029,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2
Bra000030,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000031,1,4,3,2,1,0,0,5,0,2,3,0,3,2,1,0,4,0,3,0,2,1,3,1,0,3,6,0,3,2,6
Bra000032,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000033,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Bra000034,1,1,5,1,0,3,3,5,0,0,1,1,0,0,0.45,1,4,0,0,1.33,0,3,1,4,7,5,33,2,4,7,36
Bra000035,1,0,3,0,0,1,3,2,0,0,3,0,2,0,2,0,4,0,0,0,1,0,1,1,0,4,4,2,1,6,7
Bra000036,0,2,1,0,0,1,2,2,2,0,0,4,2,0,3,1,7,1,1,0,2,1,0,1,2,10,4,0,2,2,6
Bra000037,1,5,8,3,5,1,1,6,3,6,6,1,2,4,4,3,9,5,6,1,4,0,2,3,6,15,11,35,5,4,16
Bra000038,2,3,7,3,1,1,5,4,1,3,4,5,0,0,1,8,1,0,5,3,5,2,4,3,3,3,8,2,2.66,2,6
Bra000039,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bra000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000042,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,3
Bra000043,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bra000044,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Bra000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000047,4,11,25,0,2,4,3,0,15,14,5,13,1,5,7,3,19,3,9,6,3,4,2,4,5,29,39,2,3,3,7
Bra000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bra000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000052,0,2,4,5,0,0,4,6,2,2,0,1,0,0,4,2,0,0,0,1,0,0,0,12,2,5,0,0,4,0,10
Bra000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
Bra000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000055,0,1,0,0,0,0,0,1,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bra000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Bra000058,2,0,0,2,0,4,1,2,2,2,1,2,1,2,1,6,6,2,0,5,2,1,1,1,2,11,5,1,6,0,32
Bra000059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000060,1,0,1,0,0,0,0,1,2,0,2,0,0,0,2,0,1,0,1,0,1,0,0,1,1,2,3,1,0,0,2
Bra000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000062,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,4,0,0,0,1,0,2,0,1,1,2,0,2,1,10
Bra000063,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bra000064,1,6,4,1,0,2,1,2,3,1,1,4,2,0,1,4,1,1,1,1,6,2,3,1,3,23,5,1,4,10,5
Bra000065,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Bra000066,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bra000067,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Bra000068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000069,1,0,2,0,3,0,3,3,2,2,2,3,0,0,2,0,3,2,0,1,1,2,3,2,1,2,2,1,1,3,5
Bra000070,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0
Bra000071,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,3,2,0,0,3,2
Bra000072,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0
Bra000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000074,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Bra000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bra000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000077,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Bra000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000079,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5
Bra000080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0.9,0,0,1,0,0,0,0,1,0,3,0,0,1,1.5
Bra000081,0,0,1,1,2,0,2,1,2,2,1,0,0,0,1,1,1,0,2,0,0,0,0,0,4,4,5,0,3,0,3
Bra000082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bra000084,0,0,3,1,1,1,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,3
Bra000085,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0
Bra000086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000087,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Bra000088,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1
Bra000089,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,2
Bra000090,3,3,3,1,2,2,10,11,6,1,2,3,4,2,1,2,9,1,1,1,6,4,4,2,7,13,16,3,8,9,15
Bra000091,1,0,2,1,0,1,1,2,1,0,0,0,0,0,2,0,0,0,1,0,1,1,2,1,3,5,8,1,2,1,7
Bra000092,4,0,2,1,1,1,0,2,0,2,0,1,1,0,2,2,1,1,1,1,1,4,2,0,2,3,7,0,2,0,2
Bra000093,3,5,7,10,5,7,3,11,3,1,6,1,14,4,2,5,10,4,13,6,6,12,3,11,8,4,5,2,13,19,12
Bra000094,0,1,1,2,0,1,0,0,2,1,0,1,1,0,0,1,1,0,0,0,2,0,3,0,1,3,0,0,1,0,3
Bra000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000096,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,5
Bra000097,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bra000098,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Bra000099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,0,2
Bra000100,1,0,1,0,0,0,2,2,2,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,1,1,8,0,1,4,2
Bra000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000102,2,0,1,0,0,0,2,0,4,3,1,2,1,1,3,0,2,0,1,0,0,0,1,1,3,5,2,0,0,1,0
Bra000103,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0
Bra000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000108,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,2,4,0,0,0,0,1,3,2,0,0,2,4
Bra000109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000111,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,7,0,0,2,0
Bra000112,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0
Bra000113,0,1,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7
Bra000114,18,18,38,14,17,19,21,25,37,32,26,29,7,9,20,23,75,22,41,20,42,18,20,31,49,106,181,27,26,43,204
Bra000115,0,0,3,0,1,3,0,4,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,1,1,0,2,9
Bra000116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000117,6,0,3,0,2,1,2,5,4,2,6,1,3,0,3,1,2,4,0,1,0,1,0,1,0,4,5,2,0,1,0
Bra000118,1,0,0,3,0,2,0,3,0,0,0,2,0,0,0,3,4,0,3,0,2,1,3,3,0,5,4,1,1,3,3
Bra000119,0,1,0,2,0,0,0,2,1,1,0,0,0,0,1,0,3,0,0,0,2,1,0,1,0,2,3,2,0,2,5
Bra000120,6,5,8,1,1,0,0,6,10,1,6,9,11,1,4,0,6,4,2,3,6,0,2,3,7,20,25,3,3,2,13
Bra000121,0,1,1,0,1,1,2,2,0,1,2,0,1,0,0,1,0,2,3,0,1,2,0,3,0,0,4,0,3,0,2
Bra000122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1
Bra000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000124,1,0,6,2,2,0,2,9,1,1,3,0,3,3,1,2,4,0,0,2,2,1,2,3,2,2,0,1,4,0,15
Bra000125,0,2,1,0,1,2,0,2,1,1,3,1,0,1,1,2,1,0,2,3,1,1,1,0,3,4,1,0,3,0,2
Bra000126,1,2,5,4,1,2,3,6,5,2,5,4,0,0,3,5,10,7,6,7,4,2,5,4,9,23,18,6,8,8,23
Bra000127,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,3
Bra000128,0,0,0,1,0,0,0,1,0,1,1,1,2,0,2,0,0,0,1,1,0,0,0,0,1,2,2,0,2,3,3
Bra000129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bra000130,2,3,1,1,3,48,2,19,3,0,99,4,16,37,2,3,1,2,71,4,2,4,0,1,79,8,10,80,3,3,11
Bra000131,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,3,5
Bra000132,0,1,1,0,0,0,1,6,0,0,1,0,2,1,0,2,1,1,2,0,0,0,0,6,9,16,4,0,4,3,4
Bra000133,0,0,0,2,0,1,0,2,1,1,0,0,1,0,1,2,2,0,5,3,0,0,2,0,2,1,0,1,1,0,11
Bra000134,0,0,1,0,1,0,1,1,0,0,1,0,2,0,1,1,4,1,0,0,0,0,0,0,0,3,5,1,0,1,4
Bra000135,2,7,3,6,3,2,9,24,8,3,7,6,7,2,2,5,10,4,2,8,2,2,0,10,15,22,25,0,10,12,61
Bra000136,2,1,0,1,1,0,0,3,2,2,2,0,0,1,0,1,3,1,1,2,1,1,0,1,3,6,4,0,0,1,8
Bra000137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000138,0,0,0,0,3,0,1,0,2,0,0,1,1,0,0,0,3,1,3,1,1,4,0,0,0,3,3,0,2,1,2
Bra000139,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,3
Bra000140,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Bra000141,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bra000142,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2
Bra000143,0,0,2,4,3,2,0,2,1,0,2,1,0,0,0,0,2,0,1,2,1,6,1,0,4,1,1,1,0,1,2
Bra000144,369,190.71,339,16,116.78,285.78,63,123,488.38,265.37,153,290.29,37,185.76,331.23,75.65,680.08,242.65,215,145.61,163.52,86,149.64,24.54,33,269,856.12,107.16,53,54.74,36
Bra000145,1,0,1,2,1,0,3,1,2,1,3,2,1,0,1,0,3,0,0,4,0,0,3,1,3,7,4,2,2,3,5
Bra000146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bra000148,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,4,0,0
Bra000149,4,1,9,1,2,3,0,2,12,5,4,10,6,3,2,5,8,3,4,2,6,0,4,4,4,15,27,4,2,5,14
Bra000150,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,2,0,2,0,5,0,2,0,0,4,7,0,0,1,1
Bra000151,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,0,2,3,0,1,1,1
Bra000152,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bra000153,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,2,2
Bra000154,1,0,2,1,0,0,1,0,1,0,0,0,0,0,1,2,1,0,1,1,1,1,0,0,0,7,4,0,4,1,3
Bra000155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,2,0
Bra000156,2,3,2,3,1,0,4,6,1,0,1,1,5,2,5,1,6,1,5,1,1,2,0,5,4,3,2,2,3,9,5
Bra000157,1,1,1,0,2,1,1,6,0,1,1,1,5,0,1,3,4,0,0,2,3,4,2,1,3,9,8,0,5,1,13
Bra000158,4,0,4,2,5,4,2,9,1,5,4,3,4,4,4,8,2,1,7,2,4,2,5,8,6,6,5,2,5,1,4
Bra000159,1,2,5,1,0,0,0,3,1,0,1,1,0,0,1,0,6,0,0,2,1,2,1,1,4,7,16,2,4,7,20
Bra000160,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,4,0,0,0,3
Bra000161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Bra000162,5,17,10,3,14,1,12,6,36,1,14,2,0,5,1,2,38,34,5,0,6,39,2,12,3,34,45,2,2,1,7
Bra000163,10,7,20,15,4,8,11,17,12,10,13,22,9,3,5,13,26,9,9,18,13,3,15,19,19,33,43,17,31,23,97
Bra000164,0,3,2,0,3,2,1,1,1,2,0,0,1,2,4,2,4,1,4,2,4,0,1,5,6,5,9,2,10,9,7
Bra000165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bra000166,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Bra000167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bra000168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000169,1,0,0,1,0,0,1,0,0,1,1,0,4,0,0,0,0,0,5,1,1,0,2,1,0,1,2,1,0,0,0
Bra000170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bra000171,1,0,0,0,0,1,1,1,3,0,1,0,3,0,1,2,1,0,0,0,1,0,0,0,2,2,2,0,0,1,6
Bra000172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bra000173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000177,1,0,3,2,0,0,3,0,1,0,0,2,1,0,4,3,0,0,1,0,0,0,0,7,0,0,0,0,0,4,13
Bra000178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bra000179,0,8,3,1,0,3,1,3,4,5,1,1,2,2,1,0,2,5,0,0,0,1,2,2,1,4,2,3,1,3,2
Bra000180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000181,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,6,0,1,1,4
Bra000182,0,3,4,3,1,0,0,4,0,3,2,3,0,0,0,5,2,5,0,2,1,1,0,2,3,6,6,0,2,6,16
Bra000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bra000184,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
Bra000185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
