"gene_id","ANTHO_LESS_&_0_CGY-WT_&_0_CGY","ANTHO_LESS_&_40_CGY-ANTHO_LESS_&_0_CGY","ANTHO_LESS_&_40_CGY-WT_&_40_CGY","WT_&_40_CGY-WT_&_0_CGY"
"BRA000034","None","None","Down","None"
"BRA000114","None","None","Down","None"
"BRA000126","None","None","Down","None"
"BRA000159","None","None","Down","None"
"BRA000163","None","None","Down","None"
"BRA000240","None","None","Down","None"
"BRA000272","None","None","Down","None"
"BRA000317","None","None","Down","None"
"BRA000743","None","None","Down","None"
"BRA000972","None","None","Down","None"
"BRA001177","None","None","Down","None"
"BRA001221","None","None","Down","None"
"BRA001474","None","None","Down","None"
"BRA001490","None","None","Down","None"
"BRA001502","None","None","Down","None"
"BRA001525","None","None","Down","None"
"BRA001713","None","None","Down","None"
"BRA001999","None","None","Down","None"
"BRA002115","None","None","Down","None"
"BRA002166","None","None","Down","None"
"BRA002281","None","None","Down","None"
"BRA002503","Down","None","None","None"
"BRA002537","None","None","Up","None"
"BRA002617","None","None","Up","None"
"BRA002683","None","None","Down","None"
"BRA002786","None","None","Up","None"
"BRA002821","None","None","Down","None"
"BRA002917","None","None","Down","None"
"BRA002984","None","None","Up","None"
"BRA003122","None","None","Up","Down"
"BRA003270","None","None","Down","None"
"BRA003402","None","None","Down","None"
"BRA003558","None","None","Down","None"
"BRA003583","None","None","Down","None"
"BRA003792","None","None","Up","None"
"BRA003802","Down","None","None","None"
"BRA003818","None","None","Down","None"
"BRA004105","None","None","Down","None"
"BRA004512","None","None","Down","None"
"BRA004647","None","None","Up","None"
"BRA004940","None","None","Down","None"
"BRA005238","None","None","Down","Up"
"BRA005423","None","None","Up","None"
"BRA005438","None","None","Down","None"
"BRA005469","None","None","Up","None"
"BRA005575","None","None","Down","None"
"BRA005900","None","None","Down","Up"
"BRA006033","None","None","Down","None"
"BRA006148","None","None","Down","None"
"BRA006237","None","None","Down","None"
"BRA006303","None","None","Up","None"
"BRA006561","None","None","Down","None"
"BRA007055","None","None","Up","None"
"BRA007088","None","None","Down","None"
"BRA007266","None","None","Down","None"
"BRA007371","None","None","Up","None"
"BRA008128","None","None","Down","None"
"BRA008144","None","None","Down","None"
"BRA008185","None","None","Up","None"
"BRA008190","Up","None","None","None"
"BRA008452","None","None","Down","None"
"BRA008509","None","None","Down","None"
"BRA008512","None","None","Down","None"
"BRA008555","None","None","Down","None"
"BRA008600","None","None","Down","None"
"BRA008689","None","None","Up","None"
"BRA008847","None","None","Down","None"
"BRA008872","Up","None","None","None"
"BRA009404","None","None","Down","None"
"BRA009493","None","None","Down","None"
"BRA009519","Down","None","None","None"
"BRA009583","None","None","Down","None"
"BRA009978","None","None","Down","None"
"BRA010045","None","None","Down","None"
"BRA010337","None","None","Down","None"
"BRA010398","None","None","Down","None"
"BRA010473","None","None","Up","None"
"BRA010602","None","None","Up","None"
"BRA010706","None","None","Up","None"
"BRA010731","None","None","Up","None"
"BRA010876","None","None","Down","None"
"BRA010976","None","None","Down","None"
"BRA011017","None","None","Up","None"
"BRA011030","None","None","Down","None"
"BRA011255","None","None","Up","None"
"BRA011423","None","None","Down","None"
"BRA011491","None","None","Up","Down"
"BRA011794","None","None","Down","None"
"BRA011930","None","None","Up","None"
"BRA012053","None","None","Down","None"
"BRA012114","Down","None","Down","None"
"BRA012541","None","None","Up","None"
"BRA012659","None","None","Down","None"
"BRA012696","None","None","Down","None"
"BRA012767","None","None","Down","None"
"BRA012816","None","None","Down","None"
"BRA012891","None","None","Up","Down"
"BRA013385","None","None","Down","None"
"BRA013465","None","None","Up","None"
"BRA013478","None","None","Down","None"
"BRA013539","None","None","Down","None"
"BRA013707","None","None","Down","None"
"BRA013731","None","None","Down","None"
"BRA013745","None","None","Up","None"
"BRA013774","None","None","Down","None"
"BRA013887","None","None","Down","None"
"BRA013951","None","None","Down","None"
"BRA013969","None","None","Down","None"
"BRA014106","None","None","Up","None"
"BRA014140","None","None","Up","None"
"BRA014165","None","None","Down","None"
"BRA014466","None","None","Down","None"
"BRA014494","None","None","Down","None"
"BRA014757","None","None","Down","None"
"BRA014873","None","None","Up","None"
"BRA014918","Down","None","None","None"
"BRA014977","Up","None","Up","None"
"BRA015050","None","None","Up","None"
"BRA015346","None","None","Down","None"
"BRA015500","None","None","Down","None"
"BRA015522","None","None","Down","None"
"BRA015556","Down","None","Down","None"
"BRA015665","None","None","Down","None"
"BRA015715","None","None","Down","None"
"BRA015748","Down","None","None","None"
"BRA015788","None","None","None","Down"
"BRA015852","None","None","Down","None"
"BRA016024","None","None","Down","None"
"BRA016183","Up","None","Up","None"
"BRA016241","None","None","Down","None"
"BRA016440","Down","None","None","None"
"BRA016678","None","None","Up","None"
"BRA016941","None","None","Up","None"
"BRA017004","None","None","Down","None"
"BRA017204","None","None","Down","None"
"BRA017400","None","None","Down","None"
"BRA017655","None","None","Up","None"
"BRA017888","None","None","Down","None"
"BRA017935","None","None","Down","None"
"BRA018043","None","None","Down","None"
"BRA018116","None","None","Down","None"
"BRA018419","None","None","Down","None"
"BRA018543","None","None","Down","None"
"BRA018554","None","None","Down","None"
"BRA018762","None","None","Down","None"
"BRA018810","None","None","Up","None"
"BRA019003","None","None","Down","None"
"BRA019144","None","None","Down","None"
"BRA019172","None","None","Down","None"
"BRA019819","None","None","Down","None"
"BRA019837","Down","None","None","None"
"BRA020105","None","None","Down","None"
"BRA020161","None","None","Up","None"
"BRA020209","None","None","Down","None"
"BRA020375","None","None","Up","None"
"BRA020433","None","None","Down","None"
"BRA020488","None","None","Down","None"
"BRA020508","Down","None","None","None"
"BRA020751","None","None","Down","None"
"BRA021044","None","None","Down","None"
"BRA021148","None","None","Down","None"
"BRA021158","None","None","Down","None"
"BRA021171","None","None","Up","None"
"BRA021370","None","None","Down","None"
"BRA021453","None","None","Up","None"
"BRA021508","None","None","Down","Up"
"BRA021665","None","None","Down","None"
"BRA021706","None","None","Up","None"
"BRA021916","None","None","Up","None"
"BRA021939","Up","None","None","None"
"BRA021961","None","None","Down","None"
"BRA021982","None","None","Down","None"
"BRA022151","None","None","Down","None"
"BRA022180","None","None","Down","None"
"BRA022310","None","None","Down","None"
"BRA022378","None","None","None","Up"
"BRA022735","None","None","Up","None"
"BRA022803","None","None","Down","None"
"BRA022819","None","None","Down","None"
"BRA022830","None","None","Down","Up"
"BRA023018","None","None","Down","None"
"BRA023071","None","None","Up","None"
"BRA023386","None","None","Down","None"
"BRA023503","None","None","Down","None"
"BRA023573","None","None","Down","None"
"BRA023676","None","None","Up","None"
"BRA023957","None","None","Up","None"
"BRA023975","None","None","Down","None"
"BRA024269","None","None","Down","None"
"BRA024355","None","None","Down","None"
"BRA024477","None","None","Down","None"
"BRA025044","None","None","Down","None"
"BRA025198","None","None","Up","None"
"BRA025281","None","None","Up","None"
"BRA025331","Up","None","None","None"
"BRA025364","None","None","Down","None"
"BRA025520","None","None","Down","None"
"BRA025529","None","None","Down","None"
"BRA025570","None","None","Down","None"
"BRA025663","None","None","Down","None"
"BRA025811","None","None","Up","None"
"BRA025862","None","None","Down","None"
"BRA025937","None","None","Down","None"
"BRA025984","None","None","Down","None"
"BRA026117","None","None","Down","None"
"BRA026229","None","None","Down","None"
"BRA027017","None","None","Down","None"
"BRA027045","Up","None","None","None"
"BRA027196","None","None","Down","None"
"BRA027533","None","None","Up","None"
"BRA027536","None","None","Down","None"
"BRA027597","None","None","Up","None"
"BRA027673","None","None","Down","None"
"BRA027737","None","None","Down","None"
"BRA027850","None","None","None","Up"
"BRA027881","None","None","Down","None"
"BRA028008","None","None","Down","None"
"BRA028124","None","None","Down","None"
"BRA028199","None","None","Up","None"
"BRA028219","Down","None","Down","None"
"BRA028459","None","None","Down","None"
"BRA028460","None","None","Down","None"
"BRA028506","None","None","Down","None"
"BRA028531","None","None","Down","Up"
"BRA028727","None","None","Down","None"
"BRA028906","None","None","Up","None"
"BRA028924","None","None","Down","None"
"BRA028952","None","None","Down","None"
"BRA029041","None","None","Down","None"
"BRA029308","None","None","Down","None"
"BRA029497","Down","None","Down","None"
"BRA029677","None","None","Down","None"
"BRA029775","None","None","Down","None"
"BRA029859","None","None","Down","None"
"BRA029936","None","None","Up","None"
"BRA030202","None","None","Down","None"
"BRA030204","None","None","Down","None"
"BRA030592","None","None","Down","None"
"BRA030816","None","None","Down","None"
"BRA030923","None","None","None","Up"
"BRA031247","None","None","Up","None"
"BRA031267","None","None","Down","None"
"BRA031351","None","None","Down","None"
"BRA031763","None","None","Down","None"
"BRA031801","None","None","Down","None"
"BRA031936","None","None","Down","None"
"BRA032017","None","None","Down","None"
"BRA032152","None","None","Up","None"
"BRA032268","None","None","Down","None"
"BRA032319","None","None","Down","None"
"BRA032537","None","None","Down","None"
"BRA032802","None","None","Down","None"
"BRA032906","None","None","Down","None"
"BRA032990","None","None","Up","None"
"BRA033023","None","None","Down","None"
"BRA033346","None","None","Down","None"
"BRA033452","None","None","Down","None"
"BRA033478","None","None","Up","None"
"BRA033542","None","None","Up","None"
"BRA033627","Up","None","None","None"
"BRA033878","None","None","Down","None"
"BRA033933","None","None","Up","None"
"BRA034020","None","None","Down","None"
"BRA034328","None","None","Down","None"
"BRA034402","None","None","Down","None"
"BRA034600","None","None","Down","None"
"BRA034785","None","None","Down","None"
"BRA034795","None","None","Down","None"
"BRA034887","Up","None","None","None"
"BRA034925","None","None","Down","None"
"BRA035095","None","None","Down","None"
"BRA035105","None","None","Down","None"
"BRA035128","None","None","Down","None"
"BRA035219","None","None","Down","None"
"BRA035256","None","None","Down","None"
"BRA035459","None","None","Down","None"
"BRA035499","None","None","Down","None"
"BRA035576","None","None","Down","None"
"BRA035593","None","None","Down","None"
"BRA035594","None","None","Down","None"
"BRA035599","None","None","Down","None"
"BRA035650","None","None","Down","None"
"BRA035686","None","None","Down","None"
"BRA035847","None","None","Down","None"
"BRA035909","None","None","Down","None"
"BRA035913","None","None","Down","None"
"BRA036316","Up","None","None","None"
"BRA036408","None","None","Up","None"
"BRA036448","None","None","Down","None"
"BRA036467","None","None","Up","None"
"BRA036577","None","None","Down","None"
"BRA036701","None","None","Down","None"
"BRA036720","None","None","Down","None"
"BRA036786","None","None","Down","None"
"BRA036791","None","None","Up","None"
"BRA036936","Down","None","Down","None"
"BRA036979","None","None","Down","None"
"BRA037400","None","None","Up","None"
"BRA037456","None","None","Down","None"
"BRA037463","None","None","Down","None"
"BRA037523","None","None","Down","None"
"BRA038022","None","None","Down","None"
"BRA038124","None","None","Down","None"
"BRA038498","None","None","Up","None"
"BRA038962","None","None","Down","None"
"BRA039176","None","None","Down","None"
