"gene_id","ANTHO_LESS_&_0_CGY-WT_&_0_CGY","ANTHO_LESS_&_40_CGY-ANTHO_LESS_&_0_CGY","ANTHO_LESS_&_40_CGY-WT_&_40_CGY","WT_&_40_CGY-WT_&_0_CGY"
"BRA039190","None","None","Down","None"
"BRA039327","None","None","Down","None"
"BRA039400","None","None","Down","None"
"BRA039628","None","None","Down","None"
"BRA039756","None","None","Down","None"
"BRA039816","None","None","Down","None"
"BRA039935","None","None","Down","None"
"BRA040049","None","None","Down","None"
"BRA040158","None","None","Up","None"
"BRA040211","Up","None","None","None"
"BRA040293","None","None","Up","None"
"BRA040374","None","None","Down","None"
"BRA040415","None","None","Down","None"
"BRA040475","None","None","Down","None"
"BRA040650","None","None","Up","None"
"BRA040674","None","None","Down","None"
"BRA040743","None","None","Down","None"
"BRA040785","None","None","Down","None"
"BRA040895","None","None","Down","None"
"BRA041005","None","None","Down","None"
"BRA041075","None","None","None","Down"
"BRA041148","None","None","Up","Down"
"BRA041155","None","None","Up","None"
"ENSRNA049453647","None","None","Up","None"
"ENSRNA049453737","None","None","Up","None"
"ENSRNA049460011","None","None","Up","None"
"ENSRNA049460362","None","None","Up","None"
"ENSRNA049462843","None","None","Up","None"
