"gene_id","DRS-RL"
"ENSRNA049455221","Down"
"ENSRNA049455263","Down"
"ENSRNA049456058","Down"
"BRA041148","Up"
"ENSRNA049453660","Down"
"ENSRNA049455238","Down"
"ENSRNA049458315","Down"
"ENSRNA049459226","Down"
"BRA006208","Up"
"ENSRNA049458977","Up"
"BRA015748","Up"
"ENSRNA049459793","Down"
"BRA010384","Up"
"BRA024230","Up"
"BRA028885","Down"
"BRA017961","Down"
"BRA032344","Up"
"BRA012892","Down"
"BRA000556","Down"
"ENSRNA049453624","Down"
"BRA008872","Down"
"ENSRNA049458675","Down"
"BRA036261","Up"
"ENSRNA049460521","Down"
"BRA034253","Down"
"BRA040785","Down"
"BRA002112","Down"
"BRA010541","Down"
"BRA037914","Up"
"BRA001415","Up"
"BRA025253","Down"
"BRA013903","Down"
"BRA009542","Down"
"BRA002461","Up"
"BRA016652","Down"
"BRA015145","Down"
"BRA029933","Up"
"BRA016735","Down"
"BRA019720","Down"
"BRA030645","Down"
"BRA038377","Up"
"BRA024239","Down"
"BRA018197","Up"
"BRA029633","Down"
"BRA041075","Up"
"BRA019356","Up"
"BRA034824","Up"
"BRA017204","Down"
"BRA038629","Up"
"BRA028651","Up"
"BRA022865","Down"
"BRA009978","Down"
"BRA004228","Down"
"ENSRNA049460273","Down"
"BRA037150","Down"
"BRA000047","Up"
"ENSRNA049460566","Down"
"ENSRNA049459769","Down"
"BRA000709","Up"
"BRA024067","Down"
"BRA002262","Down"
"BRA006303","Up"
"BRA006228","Down"
"BRA034214","Up"
"BRA025480","Down"
"BRA038733","Down"
"BRA000673","Down"
"BRA031054","Down"
"BRA004054","Down"
"BRA013510","Down"
"BRA032055","Down"
"BRA008845","Down"
"BRA021764","Down"
"BRA005099","Down"
"BRA014841","Up"
"BRA009439","Down"
"BRA015023","Up"
"BRA022002","Down"
"ENSRNA049454276","Down"
"BRA008295","Down"
"ENSRNA049456344","Down"
"BRA000200","Down"
"BRA025393","Down"
"BRA008599","Up"
"BRA002215","Down"
"BRA018956","Up"
"BRA013469","Down"
"BRA001357","Down"
"BRA003596","Down"
"BRA017655","Up"
"ENSRNA049460011","Up"
"BRA007210","Up"
"BRA009767","Down"
"BRA006151","Down"
"BRA022840","Down"
"BRA007744","Down"
"BRA030771","Down"
"BRA008610","Down"
"BRA003835","Up"
"BRA035865","Up"
"BRA006454","Down"
"BRA002393","Down"
"BRA008192","Down"
"BRA027763","Up"
"BRA008183","Down"
"BRA008688","Down"
"BRA004020","Down"
"BRA034005","Down"
"BRA004639","Up"
"BRA023608","Down"
"BRA023594","Down"
"BRA021058","Down"
"BRA039063","Up"
"BRA029569","Down"
"BRA028681","Down"
"BRA008877","Down"
"BRA021401","Down"
"BRA033232","Up"
"BRA020080","Down"
"BRA034929","Up"
"BRA013345","Up"
"BRA024401","Up"
"BRA003490","Up"
"BRA026952","Down"
"BRA033642","Up"
"BRA033851","Up"
"ENSRNA049460575","Down"
"BRA009637","Down"
"BRA035353","Down"
"BRA022012","Down"
"BRA026173","Down"
"BRA024970","Down"
"BRA037409","Down"
"BRA008676","Up"
"BRA010006","Down"
"ENSRNA049462490","Down"
"ENSRNA049462500","Down"
"ENSRNA049462518","Down"
"ENSRNA049462534","Down"
"ENSRNA049462557","Down"
"BRA040028","Down"
"BRA025747","Down"
"BRA027883","Down"
"BRA019529","Down"
"BRA024777","Down"
"BRA035439","Down"
"BRA001664","Down"
"BRA009122","Down"
"BRA010037","Down"
"BRA004661","Down"
"BRA006148","Down"
"BRA008598","Down"
"BRA024107","Down"
"BRA022530","Down"
"BRA022635","Up"
"BRA029526","Down"
"BRA008841","Down"
"BRA015337","Down"
"BRA022092","Down"
"BRA001950","Up"
"BRA038157","Down"
"BRA023780","Up"
"BRA029656","Down"
"BRA009065","Down"
"BRA015318","Down"
"BRA026415","Up"
"BRA034806","Down"
"BRA029350","Down"
"BRA018383","Down"
"BRA013342","Down"
"BRA008817","Down"
"BRA011005","Down"
"BRA027044","Up"
"BRA009089","Down"
"BRA030753","Down"
"BRA028008","Down"
"BRA013475","Down"
"ENSRNA049457612","Down"
"BRA002436","Down"
"BRA006407","Down"
"BRA021899","Down"
"BRA014787","Down"
"BRA040158","Down"
"BRA001250","Down"
"BRA002637","Up"
"BRA011747","Down"
"BRA015668","Up"
"BRA027887","Up"
"BRA018549","Down"
"BRA013175","Down"
"BRA005060","Up"
"BRA031197","Up"
"BRA003864","Down"
"BRA037336","Down"
"BRA001028","Down"
"BRA010711","Down"
"BRA027373","Down"
"BRA023685","Up"
"BRA019897","Down"
"BRA006934","Down"
"BRA022218","Down"
"BRA031786","Up"
"BRA031126","Down"
"BRA037476","Down"
"BRA022011","Down"
"BRA013448","Down"
"BRA015529","Down"
"BRA038897","Down"
"BRA006028","Down"
"BRA038763","Down"
"BRA036314","Down"
"BRA014637","Down"
"BRA003001","Up"
"BRA015923","Down"
"BRA030730","Down"
"BRA016067","Down"
"BRA018459","Down"
"BRA018133","Down"
"BRA003380","Down"
"BRA009093","Down"
"BRA024423","Down"
"BRA038853","Down"
"BRA015384","Down"
"BRA032858","Down"
"BRA019870","Down"
"BRA008832","Down"
"BRA025064","Down"
"BRA037759","Down"
"BRA025038","Up"
"BRA001715","Up"
"BRA036552","Down"
"BRA041036","Down"
"BRA001792","Down"
"BRA039561","Down"
"BRA030819","Down"
"BRA026311","Down"
"BRA021743","Down"
"BRA033199","Up"
"ENSRNA049459910","Down"
"BRA033578","Up"
"BRA040373","Down"
"BRA014213","Down"
"BRA018569","Down"
"BRA021434","Down"
"BRA014050","Down"
"BRA029175","Down"
"BRA013976","Down"
"BRA010967","Down"
"BRA022292","Down"
"BRA020014","Down"
"BRA006703","Down"
"BRA024814","Up"
"BRA034140","Down"
"BRA037371","Down"
"BRA029672","Down"
"BRA005418","Down"
"ENSRNA049455887","Down"
"BRA035853","Down"
"BRA008587","Down"
"BRA032480","Down"
"BRA007357","Down"
"BRA009831","Down"
"BRA007153","Down"
"BRA016458","Down"
"BRA026973","Down"
"BRA008581","Down"
"BRA006291","Down"
"BRA019069","Down"
"BRA028508","Down"
"BRA036548","Up"
"BRA019672","Down"
"BRA004235","Down"
"BRA024906","Down"
"BRA032857","Down"
"BRA001131","Down"
"BRA038081","Up"
"BRA018800","Down"
"BRA000927","Down"
"BRA017354","Up"
"BRA032556","Down"
"BRA033104","Down"
"BRA001042","Down"
"BRA017317","Down"
"BRA037135","Down"
"BRA033149","Down"
"BRA000951","Down"
"BRA023993","Down"
"BRA011344","Down"
"BRA035182","Down"
"ENSRNA049452637","Down"
"BRA034550","Down"
"BRA012145","Down"
"BRA037444","Down"
"BRA007028","Down"
"BRA020011","Down"
"BRA002531","Down"
"BRA038662","Down"
"BRA005372","Down"
"BRA005855","Down"
"BRA002548","Down"
"BRA009597","Down"
"BRA027309","Down"
"BRA014437","Down"
"BRA000956","Down"
"BRA016959","Down"
"BRA006473","Down"
"BRA013399","Down"
"BRA011428","Down"
"ENSRNA049459800","Down"
"BRA012552","Down"
"BRA001332","Down"
"BRA028667","Down"
"BRA023677","Down"
"BRA029407","Down"
"BRA028650","Down"
"BRA004229","Down"
"BRA027888","Down"
"BRA018037","Down"
"BRA035893","Down"
"BRA035002","Down"
"BRA005391","Up"
"BRA007444","Down"
"BRA034165","Down"
"BRA016956","Down"
"BRA005849","Down"
"BRA020757","Down"
"BRA013155","Down"
"BRA035139","Down"
"BRA021500","Down"
"BRA000604","Down"
"BRA004128","Down"
"BRA016375","Down"
"BRA014747","Down"
"BRA029743","Down"
"BRA017227","Down"
"BRA040402","Down"
"BRA019940","Down"
"BRA009087","Down"
"BRA038517","Down"
"BRA012296","Down"
"BRA024519","Down"
