"symbol","ensembl_ID","User_ID","baseMean","DRS-RL_log2FC","DRS-RL_adjPval","Processed data:","search_label","AL0D_1_GLbulkRNAseq_sub","AL0D_2_GLbulkRNAseq_sub","AL0D_3_GLbulkRNAseq_sub","AL0D_5_GLbulkRNAseq_sub","AL0R_1_GLbulkRNAseq_sub","AL0R_2_GLbulkRNAseq_sub","AL0R_3_GLbulkRNAseq_sub","AL0R_4_GLbulkRNAseq_sub","AL40D_1_GLbulkRNAseq_sub","AL40D_2_GLbulkRNAseq_sub","AL40D_3_GLbulkRNAseq_sub","AL40D_5_GLbulkRNAseq_sub","AL40R_1_GLbulkRNAseq_sub","AL40R_2_GLbulkRNAseq_sub","AL40R_3_GLbulkRNAseq_sub","AL40R_4_GLbulkRNAseq_sub","W0D_1_GLbulkRNAseq_sub","W0D_2_GLbulkRNAseq_sub","W0D_3_GLbulkRNAseq_sub","W0D_4_GLbulkRNAseq_sub","W0R_1_GLbulkRNAseq_sub","W0R_2_GLbulkRNAseq_sub","W0R_3_GLbulkRNAseq_sub","W0R_5_GLbulkRNAseq_sub","W40D_1_GLbulkRNAseq_sub","W40D_2_GLbulkRNAseq_sub","W40D_4_GLbulkRNAseq_sub","W40D_5_GLbulkRNAseq_sub","W40R_2_GLbulkRNAseq_sub","W40R_4_GLbulkRNAseq_sub","W40R_5_GLbulkRNAseq_sub"
"rbcL","BRA028087","BRA028087",4920.00660980597,0.301548904128868,0.833300109840878,"","rbcL | BRA028087",13.0731963467236,11.3168056151748,11.3666739014956,9.43863828894154,12.8405937208921,12.8729525002354,10.9258078953812,11.2458565212296,12.9472607190607,11.6513938170016,10.3408342320778,11.8693948433798,12.483148551282,12.5948109536034,14.0018267479281,10.9085551557488,13.2641154008428,12.93267431281,12.2265396370365,11.3754360195101,12.6363159782764,11.4814683566311,12.2882809367096,9.84443396840531,8.99620340546171,11.9827445501656,13.531430951261,13.5325502166026,10.1911885305744,11.1034905748825,9.38467693474591
"BRA015187","BRA015187","BRA015187",7915.17786593261,-0.285840757878677,0.786769747323402,"","BRA015187",12.7379935235703,13.0384228504229,12.2590462412198,11.5050413173319,13.9785793841754,13.8323137681763,12.6706191644118,12.0784526261961,13.1002712003564,13.461902040182,12.4158887847566,13.3312333838166,12.9297753087357,14.131973115656,13.5126645401663,12.3649966411145,13.1139003550779,13.4166086357645,13.4387136097537,13.0319582436763,13.2854401482793,13.1601403005685,13.3595941774885,11.341267239576,10.9328800797952,11.2350155433117,10.7213471035279,13.2587629927914,12.9945927997494,12.6748118393388,7.88873782516747
"LSU_rRNA_eukarya ENSRNA049455221","ENSRNA049455221","ENSRNA049455221",589.102797832214,-1.37114511109331,0.0621567447618648,"","LSU_rRNA_eukarya ENSRNA049455221 | ENSRNA049455221",8.47023826349739,7.72601155059122,7.58366954511329,10.4765689094612,8.81099126231675,7.71270374574343,8.91208114212337,6.91603554512959,7.73477206960181,7.21328730943421,8.27299036721276,7.80678727543373,9.45823760226196,9.48114300800583,7.25383204181127,10.1158539469832,7.692011541588,8.3772477320911,7.97080070152307,7.7729857270668,12.6687640593499,8.8105877278195,9.46588433199043,7.59971564195191,8.23470490297703,7.43491993504838,6.84495954083377,7.66643972086346,9.46943119492614,9.53585064700944,7.98149367457904
"BRA008641","BRA008641","BRA008641",669.844792371603,-0.742830169768746,0.90610165269102,"","BRA008641",10.6985712653562,2,11.1534308402978,10.3183109235199,10.3744951106577,2,9.49979657990381,8.06097923839905,10.9210019368791,10.2017412941614,2,10.4510354864791,2,11.1716908295867,10.0670669868714,9.60830716790485,2,2,2,2,10.9697007117221,2,2,8.83313024815186,9.62010636270555,8.40339000390875,2,2,2,10.0150056760414,2
"BRA018810","BRA018810","BRA018810",1317.67671807416,-0.832295706212658,0.135363207600001,"","BRA018810",9.10184504875114,10.1585056152394,10.7498838773204,11.1438813438062,11.2618694571517,10.6015032952495,9.73160432093472,10.4349974447454,9.31554583166862,9.47240452990861,10.6368471541835,10.0633435207585,9.54340286826049,12.2104321171942,12.1096964532481,11.1387149011535,8.36473457931092,9.49007572312994,10.7206773825662,9.88503619501824,9.6022949654452,10.9258374798296,10.6461458101986,9.20995693010942,9.45109772107309,8.03342720984991,7.80198158523641,8.56529004669757,10.1901883515693,10.1707260727371,8.63462918937957
"SSU_rRNA_eukarya ENSRNA049455277","ENSRNA049455277","ENSRNA049455277",229.898815029981,-1.80608579714313,NA,"","SSU_rRNA_eukarya ENSRNA049455277 | ENSRNA049455277",7.11215122349865,5.57495951929499,2.71462026127341,8.69253267761291,7.0566036676884,6.41582996827089,7.1783185634568,5.70917354157214,2.82245789715066,6.5357838234856,6.49299869877512,6.17419481979291,8.63321730803117,8.00703567577221,6.30156840350528,8.71382144110546,6.02525963078167,3.04004912142916,6.78892813686045,6.08018701185183,11.6539428455641,7.51578271881691,7.47997653809528,6.46466470194308,6.06238870901502,6.87923372951716,4.7919725145647,6.37212216516651,7.70727037823515,8.06248297313351,6.88738343056805
"SSU_rRNA_eukarya ENSRNA049460033","ENSRNA049460033","ENSRNA049460033",229.898815029981,-1.80608579714313,NA,"","SSU_rRNA_eukarya ENSRNA049460033 | ENSRNA049460033",7.11215122349865,5.57495951929499,2.71462026127341,8.69253267761291,7.0566036676884,6.41582996827089,7.1783185634568,5.70917354157214,2.82245789715066,6.5357838234856,6.49299869877512,6.17419481979291,8.63321730803117,8.00703567577221,6.30156840350528,8.71382144110546,6.02525963078167,3.04004912142916,6.78892813686045,6.08018701185183,11.6539428455641,7.51578271881691,7.47997653809528,6.46466470194308,6.06238870901502,6.87923372951716,4.7919725145647,6.37212216516651,7.70727037823515,8.06248297313351,6.88738343056805
"SSU_rRNA_eukarya ENSRNA049455263","ENSRNA049455263","ENSRNA049455263",236.857713072046,-1.68857398244106,0.0425382210365668,"","SSU_rRNA_eukarya ENSRNA049455263 | ENSRNA049455263",7.11215122349865,5.57495951929499,6.58963428709394,8.77754629585741,7.0566036676884,6.41582996827089,7.1783185634568,5.70917354157214,6.85075388049248,2.9823156983701,6.49299869877512,6.17419481979291,8.63321730803117,8.00703567577221,6.30156840350528,8.71382144110546,6.02525963078167,7.82577804431677,6.78892813686045,6.08018701185183,11.6539428455641,7.51578271881691,7.47997653809528,6.46466470194308,6.06238870901502,2.47176779619641,4.7919725145647,6.37212216516651,7.70727037823515,7.8963411457551,6.88738343056805
"SSU_rRNA_eukarya ENSRNA049456058","ENSRNA049456058","ENSRNA049456058",236.857713072046,-1.68857398244106,0.0425382210365668,"","SSU_rRNA_eukarya ENSRNA049456058 | ENSRNA049456058",7.11215122349865,5.57495951929499,6.58963428709394,8.77754629585741,7.0566036676884,6.41582996827089,7.1783185634568,5.70917354157214,6.85075388049248,2.9823156983701,6.49299869877512,6.17419481979291,8.63321730803117,8.00703567577221,6.30156840350528,8.71382144110546,6.02525963078167,7.82577804431677,6.78892813686045,6.08018701185183,11.6539428455641,7.51578271881691,7.47997653809528,6.46466470194308,6.06238870901502,2.47176779619641,4.7919725145647,6.37212216516651,7.70727037823515,7.8963411457551,6.88738343056805
"Plant_SRP ENSRNA049455681","ENSRNA049455681","ENSRNA049455681",427.637578866634,-0.519582938326911,0.235180252514496,"","Plant_SRP ENSRNA049455681 | ENSRNA049455681",7.96495105904805,8.29645415238495,8.50632634660844,8.4304440786425,8.09875072067164,8.37941563461831,8.29909455865197,9.91028661943923,8.97356003999503,8.19371095178648,8.56639854649325,8.5174621628102,10.2432750738953,8.92178599429161,9.83049790590525,8.86095668570893,8.94384975717376,8.50438683464341,8.24868701446557,7.93298195606783,8.31183381991057,8.52976181367114,8.41109521426013,8.67358678137116,8.21919048183059,8.93043128190642,8.0706884286457,8.28731633723717,8.19997095291441,7.93018018914792,9.75588848283402
