name	n	med_set	med_bg	Tobs	p_mwu	p_perm	q_perm_BH
Tier1_core	76	0.008727	0.01504	-0.004355	0.3707	0.6931	0.8086
Tier1+2_all	287	0.005857	0.01504	-0.01928	0.006514	0.06079	0.1554
route:terpenoid	30	0.02067	0.01504	0.02233	0.4063	0.4027	0.6707
route:benzenoid_phenylpropanoid	80	0.001495	0.01504	-0.009339	0.148	0.4791	0.6707
route:ester	142	0.00494	0.01504	-0.03356	0.004164	0.06659	0.1554
route:fatty_acid_GLV	43	0.02198	0.01504	0.001028	0.5011	0.9602	0.9602
route:apocarotenoid	15	-0.0136	0.01504	-0.0674	0.06028	0.05919	0.1554
