pathway_id	ncbi_gene_id
brp00010	103827616
brp00010	103827804
brp00010	103827942
brp00010	103828073
brp00010	103828089
brp00010	103828238
brp00010	103828273
brp00010	103829227
brp00010	103829330
brp00010	103829344
brp00010	103829348
brp00010	103829597
brp00010	103830313
brp00010	103830478
brp00010	103830479
brp00010	103830574
brp00010	103831554
brp00010	103831877
brp00010	103832118
brp00010	103832166
brp00010	103832230
brp00010	103832426
brp00010	103832634
brp00010	103832773
brp00010	103832797
brp00010	103832872
brp00010	103833133
brp00010	103833143
brp00010	103834139
brp00010	103834979
brp00010	103835052
brp00010	103835074
brp00010	103835152
brp00010	103835237
brp00010	103835648
brp00010	103835677
brp00010	103835700
brp00010	103836104
brp00010	103836310
brp00010	103837499
brp00010	103837888
brp00010	103837987
brp00010	103838909
brp00010	103839215
brp00010	103839286
brp00010	103839353
brp00010	103839851
brp00010	103840005
brp00010	103840137
brp00010	103840237
brp00010	103840432
brp00010	103840701
brp00010	103840735
brp00010	103840790
brp00010	103841225
brp00010	103841229
brp00010	103841316
brp00010	103841985
brp00010	103842267
brp00010	103842310
brp00010	103842505
brp00010	103842537
brp00010	103842552
brp00010	103843050
brp00010	103843331
brp00010	103843771
brp00010	103843922
brp00010	103844622
brp00010	103844946
brp00010	103845077
brp00010	103845096
brp00010	103845172
brp00010	103846437
brp00010	103847171
brp00010	103847368
brp00010	103848377
brp00010	103848938
brp00010	103849110
brp00010	103849710
brp00010	103850055
brp00010	103850273
brp00010	103850276
brp00010	103850396
brp00010	103850424
brp00010	103851719
brp00010	103851815
brp00010	103852067
brp00010	103852176
brp00010	103853105
brp00010	103853196
brp00010	103853201
brp00010	103853745
brp00010	103853791
brp00010	103854788
brp00010	103855211
brp00010	103855313
brp00010	103855408
brp00010	103855804
brp00010	103856082
brp00010	103856116
brp00010	103856758
brp00010	103856808
brp00010	103856933
brp00010	103856993
brp00010	103857264
brp00010	103857280
brp00010	103857629
brp00010	103857735
brp00010	103858904
brp00010	103858924
brp00010	103859021
brp00010	103859466
brp00010	103859549
brp00010	103859689
brp00010	103859746
brp00010	103859986
brp00010	103860608
brp00010	103860657
brp00010	103860785
brp00010	103860832
brp00010	103860904
brp00010	103861392
brp00010	103861434
brp00010	103861499
brp00010	103862344
brp00010	103862462
brp00010	103862585
brp00010	103863161
brp00010	103863163
brp00010	103863263
brp00010	103863477
brp00010	103863671
brp00010	103863685
brp00010	103864004
brp00010	103864252
brp00010	103864267
brp00010	103864286
brp00010	103864532
brp00010	103864874
brp00010	103865548
brp00010	103865552
brp00010	103866006
brp00010	103866271
brp00010	103866289
brp00010	103867160
brp00010	103867161
brp00010	103867274
brp00010	103867569
brp00010	103868025
brp00010	103868260
brp00010	103868514
brp00010	103868622
brp00010	103868729
brp00010	103869051
brp00010	103869258
brp00010	103869365
brp00010	103869626
brp00010	103869701
brp00010	103869727
brp00010	103870046
brp00010	103870081
brp00010	103870225
brp00010	103870611
brp00010	103870727
brp00010	103870831
brp00010	103871061
brp00010	103871346
brp00010	103871503
brp00010	103871767
brp00010	103872038
brp00010	103872054
brp00010	103872153
brp00010	103872160
brp00010	103872420
brp00010	103872883
brp00010	103873180
brp00010	103873204
brp00010	103873557
brp00010	103873777
brp00010	103873862
brp00010	103874006
brp00010	103874746
brp00010	103874765
brp00010	103875118
brp00010	103875341
brp00010	117133897
brp00020	103828176
brp00020	103829227
brp00020	103829344
brp00020	103829568
brp00020	103829929
brp00020	103830012
brp00020	103830157
brp00020	103830182
brp00020	103831074
brp00020	103831554
brp00020	103832683
brp00020	103834292
brp00020	103834825
brp00020	103834926
brp00020	103834945
brp00020	103835237
brp00020	103836205
brp00020	103836337
brp00020	103836575
brp00020	103836989
brp00020	103837286
brp00020	103837712
brp00020	103838252
brp00020	103838482
brp00020	103839144
brp00020	103839246
brp00020	103839353
brp00020	103840005
brp00020	103840432
brp00020	103840701
brp00020	103841749
brp00020	103841750
brp00020	103843771
brp00020	103844258
brp00020	103844622
brp00020	103844953
brp00020	103845103
brp00020	103845992
brp00020	103847149
brp00020	103847217
brp00020	103847223
brp00020	103847393
brp00020	103849095
brp00020	103850190
brp00020	103850366
brp00020	103850485
brp00020	103850689
brp00020	103851907
brp00020	103852176
brp00020	103852304
brp00020	103854239
brp00020	103854601
brp00020	103855282
brp00020	103855313
brp00020	103855482
brp00020	103855774
brp00020	103856088
brp00020	103856993
brp00020	103857007
brp00020	103857264
brp00020	103858130
brp00020	103858221
brp00020	103859549
brp00020	103859689
brp00020	103860340
brp00020	103860515
brp00020	103860832
brp00020	103862585
brp00020	103862913
brp00020	103862961
brp00020	103863477
brp00020	103864390
brp00020	103864874
brp00020	103866133
brp00020	103866371
brp00020	103866666
brp00020	103868078
brp00020	103868444
brp00020	103869701
brp00020	103870046
brp00020	103870081
brp00020	103870516
brp00020	103871061
brp00020	103871139
brp00020	103871503
brp00020	103871912
brp00020	103872206
brp00020	103873232
brp00020	103873312
brp00020	103874006
brp00020	103874014
brp00020	103874166
brp00020	103875224
brp00020	103875341
brp00030	103827594
brp00030	103827616
brp00030	103827896
brp00030	103828073
brp00030	103829082
brp00030	103832118
brp00030	103832773
brp00030	103832793
brp00030	103832797
brp00030	103833143
brp00030	103833691
brp00030	103835074
brp00030	103835152
brp00030	103835415
brp00030	103835677
brp00030	103836338
brp00030	103836988
brp00030	103837056
brp00030	103837784
brp00030	103837888
brp00030	103838225
brp00030	103838288
brp00030	103839286
brp00030	103839851
brp00030	103840164
brp00030	103840790
brp00030	103841225
brp00030	103841316
brp00030	103841917
brp00030	103842267
brp00030	103842537
brp00030	103843012
brp00030	103843039
brp00030	103845096
brp00030	103846575
brp00030	103846601
brp00030	103847037
brp00030	103847368
brp00030	103848893
brp00030	103849145
brp00030	103850028
