"","SRR4417242","SRR4417238","SRR4417240","SRR4417241","SRR4417237","SRR4417239","SRR4417243","SRR4417244"
"Bra000080",34.57,126.95,135.51,23.24,129.43,84.94,127.41,102.14
"Bra000081",427.94,404,551.47,353,627.25,475.2,1036.79,580.89
"Bra000082",4,1,0,1,4,2,5,3
"Bra000083",0,0,0,0,2,0,0,0
"Bra000084",247.13,234.71,245.46,181.02,313.89,253.35,386.31,307.65
"Bra000085",119,117,164,69,201,153,258,162
"Bra000086",1,0,0,0,0,0,2,2
"Bra000087",5,11,0,0,23,7,6,6
"Bra000088",512,371,525,294,464,477,904,698
"Bra000089",318,402,656,263,519,357,740,661
"Bra000090",12,29,19,55,34,36,121,106
"Bra000091",41,74,61,58,95,114,221,108
"Bra000092",177,215,262,203,294,224,392,266
"Bra000093",0,1,5,4,3,1,22,3
"Bra000094",187.75,153.65,143,99,320,165,381,288
"Bra000095",0,0,0,0,0,0,0,0
"Bra000096",43,16,92,71,14,10,91,60
"Bra000097",30,14,42,35,24,22,87,61
"Bra000098",210,131,203,153,142,153,461,285
"Bra000099",0,1,0,0,1,0,0,0
"Bra000100",377.33,268,296.99,189.99,377.58,402,653.97,370
"Bra000101",0,0,0,0,0,0,0,0
"Bra000102",694,554,744,332,652,681,1676,878
"Bra000103",33,34,39,28,56,47,78,45
"Bra000104",0,0,0,0,0,0,1,0
"Bra000105",136,38,53,60,38,50,112,117
"Bra000106",2,1,3,2,0,1,0,0
"Bra000107",2,2,0,0,22,2,21,0
"Bra000108",112,112,182,100,201,135,316,196
"Bra000109",567,367,436,133,647,526,1955,904
"Bra000110",4,12,3,2,12,18,6,2
"Bra000111",553,172,1204,795,161,163,1574,709
"Bra000112",264,298,459,233,404,285,659,368
"Bra000113",0,1,0,1,1,1,0,1
"Bra000114",5350,5100,5314,4187,7441,6402,12556,8460
"Bra000115",466,1050,506,361,972,1144,1788,806
"Bra000116",3681,2348,7469,1318,9962,6681,12770,4180
"Bra000117",327,754,152,89,905,853,995,538
"Bra000118",396,487,481,262,641,592,932,590
"Bra000119",1,0,0,2,0,1,1,1
"Bra000120",1114,1324,1385,1034,1785,1700,3523,1655
"Bra000121",0,1,1,6,4,2,4,4
"Bra000122",7,26.19,69.88,17.45,4,5.47,25,11.23
"Bra000123",0,0,0,0,0,0,0,0
"Bra000124",413.51,407.66,790.79,315.6,430.49,747.64,1240.19,563
"Bra000125",245,147.82,201,205,333,274.63,529.58,529.62
"Bra000126",1277,1282,1336,825,1625,1389,2853,1729
"Bra000127",129,124,179,95,178,146,289,158
"Bra000128",51,10,79,79,29,24,171,81
"Bra000129",80,247,140,108,208,407,865,490
"Bra000130",425,569,678,663,744,702,1574,817
"Bra000131",34,46,48,22,73,37,71,68
"Bra000132",1341,438,532,460,498,631,931,616
"Bra000133",0,16,4,7,13,15,6,3
"Bra000134",170,119,156,82,115,122,317,160
"Bra000135",296,480,475.69,211,750,473,729,504
"Bra000136",521,477.97,591.11,373,564.92,487.92,1329,809.13
"Bra000137",0,1,0,0,4,0,0,0
"Bra000138",25,25,38,26,53,36,60,41
"Bra000139",145,131,193,114,144.66,118,348.71,224
"Bra000140",91,102,96,47,167,120,152,118
"Bra000141",14,40,18,5,63,52,51,25
"Bra000142",11.24,26,40,9,36.24,31.87,49.79,47.27
"Bra000143",1545,966,966,613,1272,1801,1767,1193
"Bra000144",13341.7,8071.09,7560.21,16159.84,15844.71,9122.81,15081.91,11416.13
"Bra000145",244,239,332,282,429,316,654.29,441
"Bra000146",0,0,0,0,0,0,0,0
"Bra000147",177,151,185,122,218,151,419,237
"Bra000148",0,0,0,0,0,0,0,0
"Bra000149",538,764,978,575,1035,953,2075,1097
"Bra000150",127.37,184.21,237.95,131,254.62,123.11,273.35,211.38
"Bra000151",162,179,269,113,218,189,399,236
"Bra000152",41,29,56.41,40.16,76.18,32,97.25,84.22
"Bra000153",397,366,602,300,536,477,991,616
"Bra000154",330,432,431.21,352.94,616.15,516.65,719.15,486
"Bra000155",86,135,127,82,180,120,215,148
"Bra000156",322,293,395,257,371,313,934,512
"Bra000157",318,259,452,290,429,288.65,839,537
"Bra000158",401,272,312,299,397,460,1079,544
"Bra000159",554,783,811,425,1131,689,1442,964
"Bra000160",29,78,49,56,75,74,165,73
"Bra000161",166,141,275,137,201,155,557,321
"Bra000162",737,730,678,467,1161,733,1593,1038
"Bra000163",1606,1871,2235,1570,2414,2202,4815,2416
"Bra000164",452,459,564,438,720,716,1288,656
"Bra000165",99.36,168.24,249.11,84.85,54.9,142.86,398.63,165.88
"Bra000166",393.66,151.51,148.96,257.02,329.96,266.55,353.74,228.36
"Bra000167",12,8,13,4,16,13,37,18
"Bra000168",1866.48,680.63,542.12,469.46,1144.35,1351.1,1385.2,994.23
"Bra000169",32,36,37,38,118,81,91,59
"Bra000170",1,0,1,2,2,2,0,0
"Bra000171",178,162,168,147,157,152,439,273
"Bra000172",0,0,0,0,0,0,0,0
"Bra000173",0,0,3,0,0,0,4,6
"Bra000174",74,70,75,47,58,76,131,100
"Bra000175",8,8.15,7.06,2.03,3.01,5.05,16.17,9.05
"Bra000176",0,0,3,0,1,0,2,0
"Bra000177",12,11,11,9,8,7,34,14
"Bra000178",1,0,0,0,0,1,0,1
"Bra000179",42.23,34.16,93.5,45.46,54.36,77.82,143.83,85.06
"Bra000180",1,1,7,0,8,2,12,5
"Bra000181",203,247,487,45,448,268,565,302
"Bra000182",223,214,300,172,299,189,620,377
"Bra000183",0,0,1,0,0,0,0,1
"Bra000184",203,117,385,301,193,195,776,360
"Bra000185",7,3,7,2,10,7,12,8
"Bra000186",32,25,44,21,45,50,66,32
"Bra000187",256.26,131.68,234.4,149.97,221.83,216.97,687.03,205.59
"Bra000188",93,96,112,91,98,120,153,139
"Bra000189",28,1,4,17,4,5,42,15
"Bra000190",193,239,224,295,463,336,537,335
"Bra000191",0,2,0,0,0,0,1,0
"Bra000192",0,0,0,0,0,1,0,0
"Bra000193",190,221,273,194,384,227,423,333
"Bra000194",20,5,11,12,22,23,44,18
"Bra000195",23,14,18,9,26,25,26,6
"Bra000196",128,146,215,137,214,165,274,239
"Bra000197",87,94,120,66,150,103,186,158
"Bra000198",412,353,632,306,447,380,946,593
"Bra000199",156,174,281,142,180,186,404,346
"Bra000200",39,55,62,31,83,64,109,76
"Bra000201",519.64,576.96,735.36,531.1,901.2,734.89,1579.46,988.59
"Bra000202",0,2,0,0,1,0,0,0
"Bra000203",2,5,8,2,12,21,2,5
"Bra000204",66,81,105,41,83,110,115,68
"Bra000205",0,0,0,0,0,0,0,0
"Bra000206",131,177,188,83,275,191,288,151
"Bra000207",133,183,192,124,236,177,332,203
"Bra000208",7897,3037,2627,1688,3656,5950,5623,3727
"Bra000209",140,136,190,89,216,176,333,183
"Bra000210",31,23,94,13,36,24,88,7
"Bra000211",212.39,265,387.68,287.57,434,242,604.78,391.83
"Bra000212",29,27,44,36,49,50,114,133
"Bra000213",135,138,192,106,189,151,378,185
"Bra000214",186,334.56,432.36,167,311.97,348.15,312,252.13
"Bra000215",180.05,256.11,256.32,151,277.03,253.58,532.89,308
"Bra000216",1,2,1,0,4,3,8,3
"Bra000217",12.15,15.89,20.17,11.35,21.22,15.55,34.13,13.06
"Bra000218",17,7,7,11,21,14,46,45
"Bra000219",234.7,78,75.71,54,147.7,135,121.82,197.13
"Bra000220",662.67,649.9,717.74,528.98,994.74,749.28,1576.65,1223
"Bra000221",0,2,0,0,0,0,1,2
"Bra000222",1216,953,1223,708,1870,2309,3120,1274
"Bra000223",24,27,38,13,29,15,64,37
"Bra000224",8,2,10,8,4,3,30,7
"Bra000225",38,43,41,68,51,63,94,79
"Bra000226",154,141,226,151,191,156,444,252
"Bra000227",1386,1351,1713,1349,1064,1332,5418,2933
"Bra000228",0,0,0,0,0,0,0,0
"Bra000229",2,0,1,2,0,1,1,1
"Bra000230",1769.82,1756,2305,1578.58,2298,1865,4131.56,2982.09
"Bra000231",585.75,687.63,749.37,431.51,877.81,972.63,1542.7,928.28
"Bra000232",403,420,561,394,617,594,876,623
"Bra000233",12,0,24,0,0,0,33,16.27
"Bra000234",575.56,461,844.63,518.64,759.55,693.57,1520.21,772.15
"Bra000235",4,0,1,0,0,2,8,3
"Bra000236",959,901,1001,1045,1256,1084,2487,1826
"Bra000237",114,105,143,125.99,147,110,236,184
"Bra000238",1808.86,1285.02,1814.59,1548.03,1477.41,1559.77,4266.11,2655.75
"Bra000239",196,150,174,119,256,185,528,303
"Bra000240",398,340,398,329,486,397,1179.9,622
"Bra000241",2,0,0,1,0,1,0,0
"Bra000242",1595,2091,2492,1294,3098,2021,3992,2928
"Bra000243",49,28,69,49,33,48,112,80
"Bra000244",6521.96,1283.93,2054,2752.99,1685.84,2723.86,5086.96,2779
"Bra000245",0,0,0,0,0,0,0,0
"Bra000246",76,95,138,93,128,115,224,153
"Bra000247",62,41,92,22,100,41,178,89
"Bra000248",1691.24,729.73,575.65,543.81,877.8,1491.61,1253.53,1015.63
"Bra000249",142.95,112,158,137,178,136,330,220.94
"Bra000250",49,19,52,9,32,27,104,42
"Bra000251",398,235,479,192.99,415,374,696,512
"Bra000252",12,5,7,1,7,2,8,10
"Bra000253",106,136,128,110,174,136,283,163
"Bra000254",0,0,0,0,0,0,0,0
"Bra000255",29,6,40,3,5,5,65,36
"Bra000256",415,133,107,99,248,266,258,227
"Bra000257",0,0,0,0,0,0,0,0
"Bra000258",0,0,0,0,0,0,0,0
"Bra000259",0,0,0,0,0,0,2,1
"Bra000260",1272.73,830.02,1122.06,561.74,1735.11,1450.19,2780.03,1387.56
"Bra000261",3,36,68,12,37,40,42,17
"Bra000262",178.07,210.54,289.62,237.46,363.93,331.41,393.06,329.95
"Bra000263",35,171,255,75,247,478,175,181
"Bra000264",0,0,0,0,0,0,0,0
"Bra000265",149,356,522,269,566,681,1147,489
"Bra000266",0,0,1,0,0,0,0,0
"Bra000267",484,320,412,260,518,363,1067,674
"Bra000268",812,998,1379,376,1253,1102,1900,1033
"Bra000269",0,5,2,0,1,2,1,1
"Bra000270",2,0,0,1,6,2,17,7
"Bra000271",10,27,40,10,15,15,51,15
"Bra000272",1238,2093,2248,705,1638,1950,3322,2040
"Bra000273",0,0,0,0,0,0,1,0
"Bra000274",885,513,665,446,744,804,1373,950
"Bra000275",0,0,0,1,0,0,0,0
"Bra000276",21,17,9,6,25,25,25.01,29
"Bra000277",134,140,229,141,189.35,174.12,361,260.07
"Bra000278",28,15,21,25,48,21,47,59
"Bra000279",825,944,989,630,779,728,1786,1320
"Bra000280",126,130.73,161.93,55.28,188.98,109.83,332,184
"Bra000281",1,1,0,0,0,0,6,2
"Bra000282",4,27,53,6,5,1,17,7
"Bra000283",39,52,27,34,37,43,113,49
"Bra000284",32,27,24,9,23,26,76,35
"Bra000285",1640,1845,1835,1537,1795,1857,5046,2463
"Bra000286",256,122.56,170.14,134.59,206.62,216.6,370,211
"Bra000287",393,295,653,160,897,659,1528,401
"Bra000288",539,1231,1037.96,888,1097,1095,2095,1148
"Bra000289",21,57,58.07,32,97.36,88,23,54.19
"Bra000290",9,11,10,23,32,23,21,16
"Bra000291",3,2,4,0,6,9,15,5
"Bra000292",129,80,144,38,116,91,304,211
"Bra000293",11109.2,4477.89,3892.99,2857.38,5946.63,8966.02,8476.09,6839.48
"Bra000294",185,343,353,161,336,358,588,249
"Bra000295",220,145,228,201,309,256,508,343
"Bra000296",2,0,2,1,1,0,3,3
"Bra000297",186,211,285,156,306,288,449,315
"Bra000298",101,210.89,230.14,105.91,324.49,377.34,269.99,179.8
"Bra000299",46,48,102,29,63,64,157,74
"Bra000300",196,280,409,139,266,271,562,238.56
"Bra000301",62,108,120,10,173,162,139,34
"Bra000302",93,147,184,86,212,169,277,153
"Bra000303",180.83,165.86,215.54,133.25,283.76,173.72,423.69,281.84
"Bra000304",98,114,156,106,186,145,248,154
"Bra000305",392.52,257.91,449.78,140.86,343.88,376.62,804.24,289.28
"Bra000306",7,7,18,5,17,16,16,8
"Bra000307",19.06,19.78,19.93,24.93,6.73,11.02,15.23,21.44
"Bra000308",81.99,116.22,170.47,83.52,110.37,122.17,291.88,138.84
"Bra000309",0,0,0,0,0,1,3,0
"Bra000310",207,204,417,130,92,87,270,292
"Bra000311",107,194,837,65,172,229,380,389
"Bra000312",18,13,26,16,43,28,53,35
"Bra000313",0,0,0,0,0,0,0,0
"Bra000314",0,0,0,0,0,0,0,0
"Bra000315",535,250,455,251,103,288,1755,389
"Bra000316",39,57,71,35,76,64,92,55
"Bra000317",191,327,345,198,444,270,636,363
"Bra000318",104,48,55,59,120,88,334.14,172
"Bra000319",0,0,0,0,0,0,0,0
"Bra000320",0,0,0,0,0,0,0,0
"Bra000321",375.71,453,448.43,372.82,818,474.03,782.21,525.52
"Bra000322",0,0,0,0,0,0,0,0
"Bra000323",0,0,0,0,0,0,0,0
"Bra000324",0,0,0,0,0,0,0,0
"Bra000325",86,131,186,126,166,159,242,234
"Bra000326",820.91,842.92,993.93,603.94,817.89,865.95,1934.87,1278.96
"Bra000327",2.09,2.08,2.07,2.06,3.11,2.05,3.13,1.04
"Bra000328",52,35,34,30,35,46,151,58
"Bra000329",0,0,0,1,0,0,0,0
"Bra000330",2,6,26,16,13,16,9,17
"Bra000331",0,0,0,1,0,1,0,0
"Bra000332",54,14,57,0,5,7,54,20
"Bra000333",83,15,22,38,16,23,34,55
"Bra000334",105.61,105.35,159.88,69.06,139.19,116,208.46,140
"Bra000335",241.87,217.02,357.31,170.53,249.51,223.09,553.44,361.62
"Bra000336",433,240,304,180,323,363,593,320
"Bra000337",12,28,6,7,32,42,20,18
"Bra000338",98,151,149.06,66.23,188,127.32,230.46,148.45
"Bra000339",702,454,676,393,770,568.51,1345,1052
"Bra000340",17,4,15,6,5,11,8,17
"Bra000341",335.33,108.44,215.21,188.2,260.06,204.56,601.62,472.35
"Bra000342",363,667,660,379,819,772,697,550
"Bra000343",115,24,19,7,23,40,47,24
"Bra000344",22,36,30,19,84,50,44,36
"Bra000345",18,15,12,15,29,13,38,42
"Bra000346",96,115,135,70,181,129,230,108.26
"Bra000347",246.18,275,452,242.54,257,221,682.44,471.64
"Bra000348",151,347,103,120,199,236,178,257
"Bra000349",559,624,1123,419,654,520,1538,1032
"Bra000350",0,0,0,1,0,0,0,1
"Bra000351",1157.55,1758.2,1886.98,1206.83,1972.36,1909.04,3529.37,2300.72
"Bra000352",15,22,31,16,17,15,65,41
"Bra000353",185,120,203,134,155,137,338,235
"Bra000354",8,8,8,29,17,18,13,18
"Bra000355",156.85,237.63,283.89,156.91,302.35,253.33,366.54,286.25
"Bra000356",407.57,498,549.05,321,732,492,949.75,521.62
"Bra000357",68,74,81,46,103,57,173,68
"Bra000358",121,129,187,81,309,251,208,200
"Bra000359",196,180,262.25,141,290,251.24,474,298.21
"Bra000360",629,379,547,437,541,531,1107,881
"Bra000361",41,23.09,27.96,35.09,20.09,18.02,99.02,55.5
"Bra000362",47,13,47,36,7,12,105,98
"Bra000363",8,3,3,3,3,3,14,4
"Bra000364",173,129,159,153,201,95,466,286
"Bra000365",969,967,1208,869,1378,1216,3017,1332
"Bra000366",37,43,30,33,77,64,121,46
"Bra000367",174,64,170,150,57,54,409,260
"Bra000368",227,227,379,204,300,325,468,345
"Bra000369",33,30,41,25,24,31,74,36
"Bra000370",0,0,0,0,0,0,0,0
"Bra000371",69,91,135,38,146.11,60,221,102
"Bra000372",41,50,83,32,88,65,140,122
"Bra000373",1,0,1,0,0,0,0,1
"Bra000374",258,356,425,230,432,384,695,425
"Bra000375",264,222,289,227,377,285,700,365
"Bra000376",1043,636,852,724,613,651,2380,1656
"Bra000377",937,784,1210,786,649,697,2806,1283
"Bra000378",6,9,7,22,8,13,15,20
"Bra000379",75,76,101,52,123,70,163,112
"Bra000380",0,2,3,0,2,5,2,1
"Bra000381",0,0,0,0,0,1,1,3
"Bra000382",59,93,784,113.57,7.04,123,387,76
"Bra000383",181,119,246,130,137,148,410,303
"Bra000384",1771.33,1782.47,2001.6,1207.85,2944.36,3242.57,6107.68,2249.46
"Bra000385",1370,508,526,481,676,1005,1135,677
"Bra000386",35,50,52,41,81,63,113,62
"Bra000387",144,170,245,128,237,168,342,225
"Bra000388",0,0,1,0,0,0,1,1
"Bra000389",6,1,2,0,1,0,4,2
"Bra000390",9,5,7.05,5,2,6,15,9
"Bra000391",33,84,155.95,137,75,116,114,108
"Bra000392",42,22,60,24,31,21,122,64
"Bra000393",343,207,488,122,285,186,743,462.16
"Bra000394",317.01,279,349,278,388,343,640,427
"Bra000395",24,34,55,37,67,53,57,71
"Bra000396",56,60,75,65,91,79,163,104
"Bra000397",263,366,434,180,445,345,763,481
"Bra000398",43,58,70,29,85,62,98,75
"Bra000399",26,29,12,9,23,16,88,27
"Bra000400",87,146.6,200.09,49,182.9,140,322,139
"Bra000401",395.56,319.79,600.19,658.55,475.76,400.6,1032.72,766.5
"Bra000402",5,6,10,3,15,9,1,11
"Bra000403",113.99,187.48,228.69,116.42,270.42,184.77,263,221
"Bra000404",4046,1317.87,1308,1040,1809,2970,3043,2441
"Bra000405",505,617,810,387,821,688,1074,672
"Bra000406",53,10,50,12,29,18,44,17
"Bra000407",36,34,39,19,64,32,78,42
"Bra000408",45,44,77,57.28,48,45,102,101.64
"Bra000409",1646.88,1577.61,1850.06,1144,2015.83,1849.39,4088.76,2340.19
"Bra000410",2063.77,2136,2886.73,1869,2133,2017,4667,3911.89
"Bra000411",1,1.17,1,1,0,2,0,0
"Bra000412",16,26,135,22,43,51,27,33
"Bra000413",123.64,140.88,172.73,90,226.16,142.37,341.56,198
"Bra000414",24,5,6,14,9,12,11,7
"Bra000415",129,76,109,66,106,101,336,157
"Bra000416",18,38,31,13,57,42,41,44
"Bra000417",4288.65,1751.91,1663.54,1471.38,2218.55,3406.59,3944.61,2829.58
"Bra000418",1855,284,381,298,485,599,1437,676
"Bra000419",40,52,52,87,69,77,110,93
"Bra000420",198,297,223,298,364,299,313,394
"Bra000421",88,187.94,160.69,177.32,248.95,238,378.29,274.95
"Bra000422",0,0,0,0,0,0,0,0
"Bra000423",17,3,20,17,3,12,33,31
"Bra000424",164.87,198.98,249.14,153.71,299.16,242.43,468.87,300.43
"Bra000425",0,0,0,0,0,0,0,0
"Bra000426",156,120,172,109,122,150,366,210
"Bra000427",289,380,349,91,522,493,784,249
"Bra000428",654,922,1010,512,1121,999,2048,1171
"Bra000429",105,122,103,58,259,180,265,144
"Bra000430",392,305,502,410.32,304,355,1249,789
"Bra000431",0,0,1,0,0,1,2,3
"Bra000432",158,150,193,86.4,252,226.57,384,205
"Bra000433",74,11,34,16,28,11,115,51
"Bra000434",83.68,98.05,108.42,78.72,130.02,87.92,230.65,98.47
"Bra000435",68,109,166,58,152,104,150,127
"Bra000436",2,0,0,0,0,2,1,1
"Bra000437",0,0,0,0,0,0,0,0
"Bra000438",162472.42,54450.54,49146.32,39509,67520.03,110132.53,124900.52,88751
"Bra000439",23636,8410.22,7245,7465,10398,16222,19240,13489
"Bra000440",0,0,2,1,1,0,0,0
"Bra000441",2,1,117,6,0,2,1,0
"Bra000442",289.07,260.5,349.09,206.62,389.45,307.01,1289.39,612.82
"Bra000443",411.19,762.34,791.9,377.52,1163.39,894.6,1031.63,786.72
"Bra000444",7,9,13,3,16,8,20,10
"Bra000445",736,1061,984,580,1376,1134,1768,1059
"Bra000446",53,58,71,32,80,57,132,48
"Bra000447",129,86,146.5,51,107,100,330.52,176.99
"Bra000448",230,195,246,124,229,203,500,311
"Bra000449",26,12,20,3,14,15,43,12
"Bra000450",64,67,97,55,88,97,230,140
"Bra000451",1495,1425,2542,1859,1447,1716,4479,2783
"Bra000452",82,50,123.17,28,62.08,51,200,44.15
"Bra000453",37,129,91,37,182,127,66,107
"Bra000454",991.54,1286,1483,848,1729,1419,2579,1796
"Bra000455",519,905,971,413.5,1223,880,1340,859
"Bra000456",206,232,238,180,306,240,536,325
"Bra000457",421,403,461,404,581,453,1031,746
"Bra000458",649,684,934,619,942,791,1605,1231
"Bra000459",1,0,0,0,1,1,0,0
"Bra000460",2500,3327,3084,3081,4161,4975,7270,4232
"Bra000461",171,252,299,292,509,346,397,427
"Bra000462",20.12,47.11,57.81,21.08,36.04,82.43,61.28,31
"Bra000463",91,48,96,48,63,70,187,114
"Bra000464",155,358,270,99,419,420,375,235
"Bra000465",64,85,84,66,106,84,160,129
"Bra000466",159,219,214,104,288,214,414,189
"Bra000467",6,4,7,0,7,1,10,4
"Bra000468",9,9,7,1,4,8,24,9
"Bra000469",249.85,337.92,326,137.95,193,66,189,105.91
"Bra000470",0,2,5,0,9,5,0,0
"Bra000471",196,203,229,194,246,250,508,271
"Bra000472",486,599,742,441,836,706,1280,803
"Bra000473",298,280,338,263,394,315,814,527
"Bra000474",1130,44,1196,1172,51,52,3878,2004
"Bra000475",490.01,363,644.01,464,513,445,1504,676
"Bra000476",0,0,0,0,0,0,0.02,0
"Bra000477",148,88,156,77,137,131,367,243
"Bra000478",84.47,69,66,77,70,62,143.6,122
"Bra000479",93,102,198,33,143,164,135,72
"Bra000480",886,1225,846,734,905,1044,2928,1330
"Bra000481",271,177,322,180,312.42,199,558,517
"Bra000482",3,0,1,0,2,0,3,1
"Bra000483",1195,1055,1156,812,1919,1221,3084,1830
"Bra000484",0,2,1,0,7,4,0,0
"Bra000485",17,11,7,29,35,17,57,41
"Bra000486",119,52,55,54,86,88,101,55
"Bra000487",69,20,28,22,20,29,152,80
"Bra000488",13,26,46,61,27,20,43,68
"Bra000489",34,26,54,57,12,6,55,100
"Bra000490",242.06,215,402.98,182.19,396.08,280.11,558.25,295.36
"Bra000491",0,1,1,0,0,1,1,1
"Bra000492",112,155,237,119,181,162,321,201
"Bra000493",508.81,924.27,936.31,553.41,956.54,810.58,1638.17,1016.96
"Bra000494",992,574,632,432,851,788,1607,952
"Bra000495",11,43,35,7,14,13,34,17
"Bra000496",19,52,48,21,40,36,86,63
"Bra000497",56,170,162,44,106,133,243,172
"Bra000498",415,738,677,436,778.28,668.07,1306.63,813
"Bra000499",491.28,405.62,626.91,353.01,656.82,567.04,1140.18,657.01
"Bra000500",145,166,195,119,238,197,366,248
"Bra000501",169,233,253,178,399,261,456.11,321
"Bra000502",0,0,0,0,0,0,0,0
"Bra000503",1126.8,889.71,1218.01,938.36,1366.26,1260.44,2590.69,1621.26
"Bra000504",0,0,0,0,0,0,0,0
"Bra000505",198,187,250,195,231,259,348,222
"Bra000506",1,0,0,0,0,4,2,0
"Bra000507",34,53,47,18,39,23,91,29
"Bra000508",446,789,964,460,643,855,1759,893
"Bra000509",89,76,120,51,112,103,211,115
"Bra000510",15,11,45,31,22,23,56,43
"Bra000511",4,3,0,2,6,9,6,4
"Bra000512",9,10,11,7,5,5,21,14
"Bra000513",7,8,14,7,6,6,14,26
"Bra000514",2.32,0,0,0,3,0,1,1
"Bra000515",0,0,0,0,0,0,0,0
"Bra000516",261,139,153,116,225,236,302,217
"Bra000517",127,169.4,182.42,73.14,187.52,256.24,234.09,155.55
"Bra000518",22,19,30,23,45,41,38,29
"Bra000519",2,1,0,2,0,0,1,2
"Bra000520",130,126,129,71,192,161,325,211
"Bra000521",3346,1084,655,888,1433,2674,2091,1898
"Bra000522",13,9,15,2,29,6,26,6
"Bra000523",59,100,82,81,92,76,180,161
"Bra000524",8,13,27,6,31,20,21,26
"Bra000525",21,42,60,29,43,30,82,46
"Bra000526",3,3,12,5,3,5,9,3
"Bra000527",1,1,1,0,0,0,0,0
"Bra000528",370,394,461,304,497,430,747,527
