"","SRR4417242","SRR4417238","SRR4417240","SRR4417241","SRR4417237","SRR4417239","SRR4417243","SRR4417244"
"Bra000001",11,0,13,3,2,2,10,7
"Bra000002",5,22,11,9,51,15,30,16
"Bra000003",280,260,351,175,272,326,645,295
"Bra000004",10,31,40,19,27,17,57,20
"Bra000005",573.99,609.67,755.59,486,815,700.49,1458.81,877.11
"Bra000006",810,797,967,628,1270.23,837,1836,1550
"Bra000007",12,26,17,15,15,15,38,18
"Bra000008",11,13,8,4,16,21,31,17
"Bra000009",588.64,778.38,939.33,581.36,1379.43,881.1,1592.16,1310.35
"Bra000010",297.43,159.18,74.23,143.81,161.78,321.7,135.46,293.04
"Bra000011",215.31,237,319,193,380,282.16,562.24,371
"Bra000012",56,54,104,75,107,82,170,138
"Bra000013",87.46,112.37,125.38,88.04,166.87,101.1,196.87,149.99
"Bra000014",0,0,0,0,0,0,0,4
"Bra000015",32,33,74,75,30,66,91,72
"Bra000016",0,0,0,0,0,0,0,1
"Bra000017",10,5,31,13,3,2,28,33
"Bra000018",77,140,287,146,189,59,145.12,150
"Bra000019",6,25,39,3,58,21,39,10
"Bra000020",0,0,0,0,0,0,0,0
"Bra000021",9,1,4,8,2,0,4,7
"Bra000022",0,1,0,2,0,0,3,0
"Bra000023",438,253,421,249,366,367,720,474
"Bra000024",40.04,50.02,88.07,71,94,44.04,117.03,119.04
"Bra000025",3,4,0,1,1,0,2,0
"Bra000026",9,8,16,2,22,15.58,28,20
"Bra000027",127.9,82,139,64.82,110.82,160,261.82,103
"Bra000028",311,375,475,390,434,429,910,515
"Bra000029",93.17,62,98,48,106.05,92,174.11,110.12
"Bra000030",5,2,9,2,7,6,3,11
"Bra000031",234.91,192,138,40,371,242,369.86,189
"Bra000032",100,103,110,70,131,100,245,137
"Bra000033",400,164,193,205,211,250,280,372
"Bra000034",121,242,294.33,133,325,244,403.85,269
"Bra000035",732,741,836,605,917,786,1743,1062
"Bra000036",122,129,146,104,176,137,284,181
"Bra000037",335,507,515,301,700,554,950,591
"Bra000038",230.08,320.04,459.12,225,396.95,395.52,583.09,354.5
"Bra000039",182.07,112.03,184,94,173,160,589.98,245
"Bra000040",0,0,0,0,0,0,0,0
"Bra000041",0,0,0,0,1,0,0,1
"Bra000042",70,96,115,81,141,96,196,158
"Bra000043",37,27,45,23,24,18,65,65
"Bra000044",7.05,6.07,0,9,6.03,9.05,16.15,24.23
"Bra000045",51,106,75,52,161,114,122,158.95
"Bra000046",21.81,27.66,43.68,21.14,46.57,75.07,35.83,35.61
"Bra000047",383,364,404,267,442,476,759,434
"Bra000048",5729,1999,1625,1458,2535,4343,4147,3273
"Bra000049",0,1,0,1,2,2,2,0
"Bra000050",5,1,2,0,0,0,5,7
"Bra000051",0,0,0,0,0,0,0,0
"Bra000052",37,20,27,37,36,83,171,40
"Bra000053",4,11,13,8,19,12,50,19
"Bra000054",85.73,40.33,56.13,49.93,121.65,80.24,147.05,75.44
"Bra000055",427,491,625,473,697,590,1040,660
"Bra000056",154,148,159,106,132,167,314,102
"Bra000057",86,88,117,48,114,90,179,124
"Bra000058",208,766,530,440,641,621,2401,1248
"Bra000059",18,24,22,0,75,70,136,53
"Bra000060",2519,3123,2735,1950,2445,2329,6044,3334
"Bra000061",1,0,0,1,1,2,1,0
"Bra000062",334,431,547,291,563,454,859,588
"Bra000063",23,22,40,12,30,15,62,31
"Bra000064",171,147,257,120,173.74,90,720,392
"Bra000065",76,98,108,117,113,111,199,127
"Bra000066",0,0,0,1,2,1,0,1
"Bra000067",941,399,344,253,427,726,724.27,592
"Bra000068",0,0,0,0,0,0,0,0
"Bra000069",116,130,123,80,229,147,257,145
"Bra000070",14,15,19,14,37,20,46,22
"Bra000071",361,343,384,196,360,392,770,508
"Bra000072",48,8,68,48,20,9,85,86
"Bra000073",6,13,18,4,20,7,10,4
"Bra000074",1,1,0,1,4,2,0,2
"Bra000075",24,37,55,19,49,44,74,49
"Bra000076",18,2,2,0,5,1,15,13
"Bra000077",50,65,63,38,96,48,130,72
"Bra000078",1,0,0,0,0,0,0,0
"Bra000079",18.43,41.05,69.49,16.76,12.57,21.06,38.59,33.36
